,price_per_square,squares,max_floor,latitude,longitude,Nevskii prospekt,parkings_1km,rent_per_m,Pushkinsky,Primorsky,Tsentralny,Kalininsky,Krasnogvardeysky,Admiralteysky,Vyborgsky,Frunzensky,Nevsky,Petrogradsky,Vasileostrovsky,Krasnoselsky,Kirovsky,Moskovsky,population,mean_distr_pps,metro_1km,metro_5km,metro_10km
88,322581.0,18.6,1.0,30.26444,59.942827,7.0,35.0,322600.0,188.1,190.88,193.43,196.24,196.77,199.32,199.08,198.26,197.88,197.92,199.31,201.35,202.63,204.8,207.55,209.16,0,15,42
89,257366.8,19.0,5.0,30.213963,59.85304,13.15,57.0,70000.0,305.45,302.59,299.9,297.13,296.54,293.94,294.04,294.69,294.91,294.72,293.36,291.36,290.11,287.96,285.3,283.59,0,3,15
90,220579.8,19.0,5.0,30.389386,59.986187,7.44,48.0,38000.0,240.77,243.65,246.35,249.12,249.71,252.32,252.22,251.56,251.31,251.46,252.83,254.85,256.11,258.27,260.95,262.65,0,12,49
91,258469.6,19.0,16.0,30.407883,59.932026,8.97,31.0,50000.0,174.94,176.47,177.61,179.71,179.79,181.3,180.61,179.41,178.64,178.19,179.22,180.71,181.66,183.2,185.37,186.1,1,8,41
92,207913.2,19.0,1.0,30.386853,59.969623,6.88,49.0,44000.0,225.23,227.15,229.26,230.42,231.06,232.6,233.21,233.67,234.18,234.84,235.42,236.27,236.78,237.71,238.55,239.78,0,14,50
93,277524.6,19.9,19.0,30.406787,59.956219,8.92,19.0,45000.0,165.56,168.07,170.29,173.03,173.43,175.77,175.36,174.35,173.82,173.68,175.04,177.02,178.26,180.35,183.08,184.48,0,7,40
94,239500.4,20.0,1.0,30.234184,59.944625,10.36,56.0,60000.0,57.19,55.51,53.67,52.94,52.37,51.28,50.58,49.89,49.27,48.56,48.25,47.85,47.65,47.29,47.29,46.56,1,11,29
95,226824.4,20.0,1.0,30.283933,60.023596,6.49,40.0,60000.0,171.4,171.67,171.54,172.57,172.33,172.74,171.93,170.81,170.0,169.35,169.85,170.56,171.03,171.73,172.92,172.87,0,11,49
96,310320.2,20.0,1.0,30.291066,59.957575,4.17,69.0,60000.0,28.94,27.08,25.16,24.47,23.92,23.03,22.29,21.51,20.85,20.13,19.95,19.83,19.89,20.06,20.92,20.82,2,25,52
97,326137.2,20.0,1.0,30.317782,59.864593,3.77,76.0,80000.0,42.49,45.31,48.08,50.59,51.26,53.79,53.91,53.57,53.57,53.95,55.18,57.0,58.13,60.12,62.52,64.27,3,21,53
98,287500.0,20.0,1.0,30.37009,59.932811,4.76,57.0,40880.0,71.72,68.99,66.53,63.72,63.23,60.75,61.07,61.98,62.45,62.5,61.12,59.11,57.84,55.71,52.96,51.48,0,21,53
99,313291.6,20.0,2.0,30.299321,60.001671,4.55,74.0,20000.0,71.76,68.89,66.16,63.41,62.81,60.2,60.29,60.93,61.18,61.02,59.65,57.63,56.37,54.22,51.54,49.84,2,20,50
100,212530.0,20.0,3.0,30.370153,60.050179,7.78,41.0,60000.0,274.82,277.52,279.94,282.74,283.21,285.67,285.33,284.39,283.9,283.83,285.2,287.21,288.46,290.58,293.33,294.77,0,6,39
101,248885.8,20.0,3.0,30.418186,60.034978,11.53,60.0,39000.0,7.63,4.75,1.98,1.08,1.44,4.0,3.93,3.58,3.78,4.36,5.3,6.98,8.1,10.13,12.68,14.42,1,3,21
102,257366.8,20.0,5.0,30.218563,59.85111,12.69,57.0,30000.0,254.52,251.7,249.08,246.28,245.72,243.14,243.31,244.06,244.36,244.25,242.87,240.83,239.56,237.4,234.67,233.0,0,5,15
103,267500.0,20.0,5.0,30.321033,59.94179,0.77,15.0,93864.0,218.12,219.48,220.4,222.33,222.34,223.63,222.9,221.69,220.9,220.39,221.31,222.63,223.47,224.8,226.73,227.23,5,35,56
104,228474.0,20.0,6.0,30.405978,59.719555,14.78,21.0,50000.0,266.52,268.68,270.98,272.39,273.05,274.77,275.33,275.7,276.14,276.77,277.47,278.48,279.08,280.14,281.12,282.4,0,0,7
105,212033.4,20.0,9.0,30.230627,59.938257,10.75,59.0,65000.0,83.04,80.75,78.84,76.25,75.96,73.89,74.44,75.57,76.23,76.51,75.27,73.48,72.35,70.49,67.99,66.94,1,9,26
106,260778.2,20.0,9.0,30.321536,59.985831,2.66,99.0,80000.0,238.09,237.23,236.01,235.87,235.38,234.65,233.9,233.08,232.39,231.67,231.56,231.37,231.25,230.94,230.84,229.96,0,30,53
107,220366.2,20.0,9.0,30.347462,59.853885,4.84,48.0,49999.0,54.5,51.94,49.71,46.97,46.59,44.29,44.75,45.8,46.39,46.59,45.28,43.38,42.19,40.22,37.61,36.44,0,23,52
108,264513.4,20.0,9.0,30.405978,59.719555,14.78,21.0,30000.0,266.52,268.68,270.98,272.39,273.05,274.77,275.33,275.7,276.14,276.77,277.47,278.48,279.08,280.14,281.12,282.4,0,0,7
109,282600.0,20.0,1.0,30.32018,59.925155,0.95,30.0,40000.0,247.04,249.6,252.22,254.23,254.93,257.12,257.5,257.52,257.76,258.28,259.29,260.76,261.66,263.25,265.0,266.59,6,34,56
110,306551.0,20.0,1.0,30.365868,59.938861,4.3,31.0,23000.0,45.24,42.68,40.08,38.15,37.46,35.38,34.95,34.84,34.57,34.03,33.06,31.69,30.88,29.5,28.16,26.77,2,20,53
111,228885.8,20.0,1.0,30.414521,60.036097,11.2,63.0,20000.0,88.85,86.19,83.8,81.01,80.55,78.11,78.47,79.42,79.92,80.0,78.63,76.63,75.38,73.26,70.52,69.08,1,3,23
112,118933.0,20.6,9.0,30.367467,60.051167,7.63,39.0,343536.0,294.23,296.38,298.09,300.54,300.74,302.59,301.96,300.78,300.06,299.68,300.8,302.41,303.42,305.03,307.23,307.92,0,7,39
113,298044.6,21.0,2.0,30.257532,59.984467,8.1,91.0,63000.0,305.78,308.66,311.39,314.13,314.74,317.34,317.28,316.63,316.38,316.52,317.9,319.93,321.19,323.35,326.02,327.73,2,11,39
114,385289.2,21.0,9.0,30.326441,60.002279,3.44,77.0,45000.0,126.86,128.07,129.6,130.08,130.63,131.65,132.36,133.07,133.71,134.42,134.68,135.1,135.35,135.89,136.27,137.29,0,29,52
