,price_per_square,squares,max_floor,latitude,longitude,Nevskii prospekt,parkings_1km,rent_per_m,population,mean_distr_pps,pub_trans_1km
182,112500.0,120.0,1.0,30.297974,59.9308,3.27,53.0,253542.4,155981,249123.5042857144,68.0
183,202778.0,18.0,20.0,30.351316,60.078365,7.99,30.0,75000.0,541590,234626.65405405403,22.0
184,340000.0,92.88,11.0,30.378714,60.018349,7.26,41.0,211400.0,536794,264184.3025,21.0
185,340000.0,97.62,13.0,30.378714,60.018349,7.26,41.0,213940.0,536794,264184.3025,21.0
186,340000.0,77.3,13.0,30.378714,60.018349,7.26,41.0,165562.0,536794,264184.3025,21.0
187,340000.0,77.92,11.0,30.378714,60.018349,7.26,41.0,159062.0,536794,264184.3025,21.0
188,346154.0,13.0,3.0,30.339143,59.924325,1.44,65.0,34730.0,200654,244764.85882352944,58.0
189,312500.0,112.0,4.0,30.314161,59.935858,1.46,29.0,231635.2,200654,244764.85882352944,54.0
190,88815.0,135.0,1.0,30.21664,59.958814,12.35,82.0,285212.0,206680,261018.50256410256,28.0
191,300000.0,14.0,1.0,30.286619,59.926706,4.54,76.0,47930.0,155981,249123.5042857144,66.0
192,300000.0,148.8,11.0,30.331741,59.977012,2.21,75.0,218815.0,541590,234626.65405405403,60.0
193,177420.0,62.0,4.0,30.443096,59.885002,13.19,17.0,176842.0,547896,236967.59302325585,49.0
194,200000.0,77.0,25.0,30.474367,60.018102,17.05,18.0,129790.0,366971,234417.04901960783,3.0
195,366327.0,98.0,8.0,30.317844,59.907338,1.78,53.0,145600.0,155981,249123.5042857144,66.0
196,350000.0,145.3,21.0,30.306849,59.998058,3.9,62.0,237640.0,699243,270866.037,36.0
197,225625.0,109.33,1.0,30.288496,59.911759,4.47,46.0,186000.0,155981,249123.5042857144,57.0
198,299726.0,88.35,1.0,30.35128,59.967502,3.16,57.0,224160.0,536794,264184.3025,69.0
199,305615.0,84.01,1.0,30.35128,59.967502,3.16,57.0,133256.0,536794,264184.3025,69.0
200,323666.0,70.75,1.0,30.35128,59.967502,3.16,57.0,113118.0,536794,264184.3025,69.0
201,323665.0,71.45,1.0,30.35128,59.967502,3.16,57.0,130418.0,536794,264184.3025,69.0
202,323666.0,68.7,1.0,30.35128,59.967502,3.16,57.0,128862.0,536794,264184.3025,69.0
203,329650.0,63.54,1.0,30.35128,59.967502,3.16,57.0,140900.0,536794,264184.3025,69.0
204,317585.0,76.13,1.0,30.35128,59.967502,3.16,57.0,130418.0,536794,264184.3025,69.0
205,368623.0,124.7,1.0,30.310128,59.987226,3.25,84.0,262296.0,699243,270866.037,44.0
206,368623.0,139.8,1.0,30.310128,59.987226,3.25,84.0,189815.0,699243,270866.037,44.0
207,357085.0,127.6,1.0,30.310128,59.987226,3.25,84.0,262296.0,699243,270866.037,44.0
208,351348.0,108.1,1.0,30.310128,59.987226,3.25,84.0,221800.0,699243,270866.037,44.0
209,301457.0,128.1,1.0,30.245728,59.962048,9.16,41.0,139600.0,115757,266189.33541666664,21.0
210,301457.0,130.4,1.0,30.245728,59.962048,9.16,41.0,171600.0,115757,266189.33541666664,21.0
211,333313.0,165.1,1.0,30.245728,59.962048,9.16,41.0,259998.6,115757,266189.33541666664,21.0
212,332895.0,83.8,1.0,30.245728,59.962048,9.16,41.0,119138.0,115757,266189.33541666664,21.0
213,332895.0,82.1,1.0,30.245728,59.962048,9.16,41.0,136538.0,115757,266189.33541666664,21.0
