,price_per_square,squares,max_floor,latitude,longitude,Nevskii prospekt,parkings_1km,rent_per_m,population
432,134546.0,55.0,1.0,30.349627,59.932202,2.49,28.0,104178.8,200654
433,52546.0,55.0,1.0,30.356346,59.940875,3.25,31.0,104178.8,200654
434,89091.0,55.0,1.0,30.386727,59.947041,6.64,27.0,104178.8,200654
435,145455.0,55.0,1.0,30.41126,59.928217,9.35,42.0,104178.8,200654
436,245455.0,55.0,4.0,30.345396,59.939167,2.02,20.0,80738.8,413983
437,59091.0,55.0,4.0,30.360766,59.920086,3.81,47.0,80738.8,200654
444,399275.0,55.1,7.0,30.296402,59.952123,3.53,52.0,98920.0,200654
446,170000.0,55.24,2.0,30.084013,59.724491,28.15,48.0,104178.8,200654
447,415163.0,55.4,5.0,30.330232,59.854567,4.19,35.0,89360.0,200654
448,433213.0,55.4,5.0,30.330232,59.854567,4.19,35.0,89360.0,200654
449,198556.0,55.4,9.0,30.489503,59.906309,18.12,36.0,98600.0,200654
450,360361.0,55.5,1.0,30.318725,59.885936,2.7,75.0,96578.8,200654
451,269300.0,55.7,3.0,30.279935,59.942376,5.28,52.0,62618.8,200654
456,400000.0,56.04,11.0,30.338083,59.880582,3.1,19.0,112600.0,200654
458,380000.0,56.2,25.0,30.220961,59.862483,12.29,34.0,135700.0,200654
459,326578.0,56.25,19.0,30.184849,59.942245,15.84,15.0,97892.0,200654
467,219299.0,57.0,25.0,30.317961,60.069598,6.93,47.0,138900.0,200654
468,400000.0,57.1,10.0,30.429685,59.881358,11.79,23.0,138720.0,413983
470,350000.0,57.6,11.0,30.338083,59.880582,3.1,19.0,124520.0,200654
471,387600.0,57.61,7.0,30.268635,59.943372,6.53,33.0,144884.4,200654
472,225460.0,57.66,25.0,30.317961,60.069598,6.93,47.0,138900.0,200654
473,134316.0,57.7,1.0,30.32495,59.917213,0.97,38.0,108602.0,200654
475,317646.0,57.91,9.0,30.404316,59.938175,8.57,17.0,164120.0,413983
476,136207.0,58.0,1.0,30.32495,59.917213,0.97,38.0,97602.0,200654
486,317646.0,58.88,9.0,30.404316,59.938175,8.57,17.0,121920.0,200654
487,135000.0,58.9,1.0,30.376316,59.924943,5.48,69.0,156602.0,413983
488,225000.0,58.9,5.0,30.442773,59.885616,13.15,17.0,182598.0,200654
491,261865.0,59.0,27.0,30.340985,60.075016,7.44,51.0,161500.0,200654
492,281145.0,59.4,1.0,30.330403,59.957043,1.17,22.0,156602.0,200654
493,420169.0,59.5,6.0,30.346546,59.910009,2.52,75.0,198398.0,200654
494,254181.0,59.8,28.0,30.340985,60.075016,7.44,51.0,161500.0,200654
497,283334.0,60.0,3.0,30.288119,59.984373,4.98,43.0,181398.0,200654
502,179834.0,60.0,5.0,30.344336,60.072094,7.4,53.0,193598.0,200654
503,250000.0,60.0,5.0,30.379343,59.857418,7.16,90.0,193598.0,200654
508,350000.0,60.0,25.0,30.199195,60.038573,14.97,9.0,133976.0,200654
513,225000.0,60.4,5.0,30.442773,59.885616,13.15,17.0,193598.0,200654
515,319994.0,60.77,14.0,30.417396,59.936206,10.02,47.0,120170.0,200654
