,price_per_square,squares,max_floor,latitude,longitude,Nevskii prospekt,parkings_1km,rent_per_m,Primorsky,Tsentralny,Kalininsky,Krasnogvardeysky,Admiralteysky,Vyborgsky,Frunzensky,Nevsky,Petrogradsky,Vasileostrovsky,Krasnoselsky,Moskovsky,population,mean_distr_price_per_square
111,259575.0,47.0,6.0,30.349043,59.91683,2.61,66.0,105411.8,0,1,0,0,0,0,0,0,0,0,0,0,200654,235314.1
112,297873.0,47.0,12.0,30.312446,59.902154,2.36,67.0,92411.6,0,0,0,0,1,0,0,0,0,0,0,0,155981,239806.10465116278
113,222930.0,47.1,17.0,30.223512,60.02793,12.3,63.0,139619.4,1,0,0,0,0,0,0,0,0,0,0,0,699243,289144.3595505618
114,288819.0,47.4,9.0,30.23581,59.982154,10.4,42.0,92000.0,1,0,0,0,0,0,0,0,0,0,0,0,699243,289144.3595505618
115,170000.0,47.65,2.0,30.082621,59.724677,28.29,47.0,46275.0,0,0,0,0,0,0,0,0,0,0,1,0,431546,260245.32727272727
116,170000.0,47.65,2.0,30.082621,59.724677,28.29,47.0,46275.0,0,0,0,0,0,0,0,0,0,0,1,0,431546,260245.32727272727
117,170000.0,47.65,2.0,30.084013,59.724491,28.15,48.0,46275.0,0,0,0,0,0,0,0,0,0,0,1,0,431546,260245.32727272727
118,125261.0,47.9,1.0,30.369327,59.927346,4.7,56.0,46275.0,0,1,0,0,0,0,0,0,0,0,0,0,200654,235314.1
119,334030.0,47.9,3.0,30.359679,59.918526,3.71,46.0,49535.0,0,1,0,0,0,0,0,0,0,0,0,0,200654,235314.1
120,406596.0,47.91,18.0,30.194542,59.942894,14.76,20.0,149719.4,0,0,0,0,0,0,0,0,0,1,0,0,206680,277233.406779661
121,333334.0,48.0,3.0,30.359679,59.918526,3.71,46.0,58727.0,0,1,0,0,0,0,0,0,0,0,0,0,200654,235314.1
122,209375.0,48.0,5.0,30.3253,59.91466,1.09,37.0,96411.8,0,0,0,0,1,0,0,0,0,0,0,0,155981,239806.10465116278
123,236140.0,48.7,7.0,30.446474,59.873266,13.72,19.0,108411.8,0,0,0,0,0,0,0,1,0,0,0,0,547896,229456.3777777778
124,235656.0,48.8,4.0,30.345863,59.925146,2.14,59.0,85800.0,0,1,0,0,0,0,0,0,0,0,0,0,200654,235314.1
125,118368.0,49.0,5.0,30.382047,59.965912,6.31,30.0,96411.8,0,0,1,0,0,0,0,0,0,0,0,0,536794,273406.70454545453
126,448980.0,49.0,6.0,30.327223,59.876237,3.05,54.0,96411.8,0,0,0,0,0,0,0,0,0,0,0,1,335221,314777.01785714284
127,234694.0,49.0,6.0,30.345863,59.925146,2.14,59.0,96411.8,0,1,0,0,0,0,0,0,0,0,0,0,200654,235314.1
128,341837.0,49.0,12.0,30.488551,59.951506,17.96,26.0,129623.0,0,0,0,1,0,0,0,0,0,0,0,0,366971,228121.51162790696
129,80646.0,49.6,1.0,30.356822,59.94417,3.32,34.0,95640.0,0,1,0,0,0,0,0,0,0,0,0,0,200654,235314.1
130,173800.0,50.0,3.0,30.350588,59.922341,2.68,48.0,82900.0,0,1,0,0,0,0,0,0,0,0,0,0,200654,235314.1
131,440000.0,50.0,5.0,30.358134,59.932495,3.43,22.0,86800.0,0,1,0,0,0,0,0,0,0,0,0,0,200654,235314.1
132,380000.0,50.0,8.0,30.392297,59.942268,7.24,22.0,106411.8,0,1,0,0,0,0,0,0,0,0,0,0,200654,235314.1
133,230000.0,50.0,23.0,30.205447,60.002638,13.88,98.0,107020.0,1,0,0,0,0,0,0,0,0,0,0,0,699243,289144.3595505618
134,59761.0,50.2,5.0,30.348675,59.91129,2.7,62.0,86800.0,0,0,0,0,0,0,1,0,0,0,0,0,413983,242403.375
135,137200.0,50.4,1.0,30.359356,59.921692,3.64,44.0,92900.0,0,1,0,0,0,0,0,0,0,0,0,0,200654,235314.1
136,176413.0,50.45,13.0,30.329891,60.006116,3.66,69.0,127211.6,0,0,0,0,0,1,0,0,0,0,0,0,541590,213930.27160493826
137,353151.0,50.46,19.0,30.184849,59.942245,15.84,15.0,133508.0,0,0,0,0,0,0,0,0,0,1,0,0,206680,277233.406779661
138,353151.0,50.46,19.0,30.184849,59.942245,15.84,15.0,133508.0,0,0,0,0,0,0,0,0,0,1,0,0,206680,277233.406779661
139,211686.0,51.0,18.0,30.431364,59.900962,11.74,22.0,117508.0,0,0,0,0,0,0,0,1,0,0,0,0,547896,229456.3777777778
140,335000.0,51.0,25.0,30.303983,59.99669,4.03,59.0,99720.0,1,0,0,0,0,0,0,0,0,0,0,0,699243,289144.3595505618
141,246967.0,51.1,16.0,30.368563,59.885142,5.32,17.0,133208.0,0,0,0,0,0,0,1,0,0,0,0,0,413983,242403.375
142,400000.0,51.3,11.0,30.338083,59.880582,3.1,19.0,93411.6,0,0,0,0,0,0,0,0,0,0,0,1,335221,314777.01785714284
143,295367.0,51.8,16.0,30.40552,59.84819,9.95,55.0,133208.0,0,0,0,0,0,0,1,0,0,0,0,0,413983,242403.375
144,226416.0,53.0,1.0,30.302699,59.922792,2.81,64.0,123000.0,0,0,0,0,1,0,0,0,0,0,0,0,155981,239806.10465116278
145,358491.0,53.0,13.0,30.2026,60.030245,14.5,18.0,96000.0,1,0,0,0,0,0,0,0,0,0,0,0,699243,289144.3595505618
146,348400.0,53.1,1.0,30.2973,59.952331,3.44,46.0,123000.0,0,0,0,0,0,0,0,0,1,0,0,0,115757,268974.5714285714
147,380160.0,53.3,9.0,30.145673,59.861824,20.42,46.0,98000.0,0,0,0,0,0,0,0,0,0,0,1,0,431546,260245.32727272727
150,106618.0,54.4,1.0,30.336026,59.873261,3.38,18.0,104178.8,0,0,0,0,0,0,0,0,0,0,0,1,335221,314777.01785714284
151,322735.0,54.41,9.0,30.288622,59.903823,4.58,42.0,96000.0,0,0,0,0,1,0,0,0,0,0,0,0,155981,239806.10465116278
152,321101.0,54.5,25.0,30.251773,60.029458,9.52,75.0,135700.0,1,0,0,0,0,0,0,0,0,0,0,0,699243,289144.3595505618
153,317646.0,54.59,9.0,30.404316,59.938175,8.57,17.0,96000.0,0,0,0,1,0,0,0,0,0,0,0,0,366971,228121.51162790696
154,103637.0,55.0,1.0,30.311278,59.911475,2.16,57.0,104178.8,0,0,0,0,1,0,0,0,0,0,0,0,155981,239806.10465116278
155,134546.0,55.0,1.0,30.349627,59.932202,2.49,28.0,104178.8,0,1,0,0,0,0,0,0,0,0,0,0,200654,235314.1
156,52546.0,55.0,1.0,30.356346,59.940875,3.25,31.0,104178.8,0,1,0,0,0,0,0,0,0,0,0,0,200654,235314.1
157,89091.0,55.0,1.0,30.386727,59.947041,6.64,27.0,104178.8,0,1,0,0,0,0,0,0,0,0,0,0,200654,235314.1
158,145455.0,55.0,1.0,30.41126,59.928217,9.35,42.0,104178.8,0,0,0,1,0,0,0,0,0,0,0,0,366971,228121.51162790696
159,245455.0,55.0,4.0,30.345396,59.939167,2.02,20.0,80738.8,0,1,0,0,0,0,0,0,0,0,0,0,200654,235314.1
160,59091.0,55.0,4.0,30.360766,59.920086,3.81,47.0,80738.8,0,1,0,0,0,0,0,0,0,0,0,0,200654,235314.1
161,399275.0,55.1,7.0,30.296402,59.952123,3.53,52.0,98920.0,0,0,0,0,0,0,0,0,1,0,0,0,115757,268974.5714285714
162,170000.0,55.24,2.0,30.084013,59.724491,28.15,48.0,104178.8,0,0,0,0,0,0,0,0,0,0,1,0,431546,260245.32727272727
163,415163.0,55.4,5.0,30.330232,59.854567,4.19,35.0,89360.0,0,0,0,0,0,0,0,0,0,0,0,1,335221,314777.01785714284
164,433213.0,55.4,5.0,30.330232,59.854567,4.19,35.0,89360.0,0,0,0,0,0,0,0,0,0,0,0,1,335221,314777.01785714284
165,198556.0,55.4,9.0,30.489503,59.906309,18.12,36.0,98600.0,0,0,0,0,0,0,0,1,0,0,0,0,547896,229456.3777777778
