,price_per_square,squares,max_floor,latitude,longitude,Nevskii prospekt,parkings_1km,rent_per_m,Pushkinsky,Primorsky,Tsentralny,Kalininsky,Krasnogvardeysky,Admiralteysky,Vyborgsky,Frunzensky,Nevsky,Petrogradsky,Vasileostrovsky,Krasnoselsky,Kirovsky,Moskovsky,population,mean_distr_pps
105,257366.8,20.0,5.0,30.218563,59.85111,12.69,57.0,30000.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,431546,251833.7180952381
106,267500.0,20.0,5.0,30.321033,59.94179,0.77,15.0,93864.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,200654,241670.61921397378
107,228474.0,20.0,6.0,30.405978,59.719555,14.78,21.0,50000.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,263732,216441.6716981132
108,212033.4,20.0,9.0,30.230627,59.938257,10.75,59.0,65000.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,206680,259361.0213114754
109,260778.2,20.0,9.0,30.321536,59.985831,2.66,99.0,80000.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,699243,269920.7057777778
110,220366.2,20.0,9.0,30.347462,59.853885,4.84,48.0,49999.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,335221,276841.92173913046
111,264513.4,20.0,9.0,30.405978,59.719555,14.78,21.0,30000.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,263732,216441.6716981132
112,282600.0,20.0,1.0,30.32018,59.925155,0.95,30.0,40000.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,155981,248729.14379084966
113,306551.0,20.0,1.0,30.365868,59.938861,4.3,31.0,23000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,200654,241670.61921397378
114,228885.8,20.0,1.0,30.414521,60.036097,11.2,63.0,20000.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,536794,262758.3340659341
115,118933.0,20.6,9.0,30.367467,60.051167,7.63,39.0,343536.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,541590,236507.11325301204
116,298044.6,21.0,2.0,30.257532,59.984467,8.1,91.0,63000.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,699243,269920.7057777778
117,385289.2,21.0,9.0,30.326441,60.002279,3.44,77.0,45000.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,541590,236507.11325301204
118,269682.4,21.9,2.0,30.093041,59.825407,26.37,14.0,60000.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,431546,251833.7180952381
119,262179.4,22.0,25.0,30.204962,60.033908,14.3,19.0,65000.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,699243,269920.7057777778
120,191387.8,22.0,25.0,30.363209,59.831865,6.81,38.0,55000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,335221,276841.92173913046
121,357141.0,22.0,1.0,30.159606,59.866761,18.87,80.0,28000.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,431546,251833.7180952381
122,198238.0,22.7,1.0,30.361898,59.944111,3.88,37.0,47762.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,200654,241670.61921397378
123,262179.4,22.7,25.0,30.394453,59.939956,7.47,22.0,45000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,200654,241670.61921397378
124,195560.8,22.9,3.0,30.343905,59.965966,2.44,44.0,29770.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,541590,236507.11325301204
125,227262.4,23.0,1.0,30.334275,59.934758,0.78,24.0,118320.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,200654,241670.61921397378
126,218389.2,23.0,2.0,30.335685,60.030204,5.01,57.0,1000.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,541590,236507.11325301204
127,247254.0,23.0,3.0,30.488947,59.841089,18.81,31.0,42550.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,547896,233645.41980198017
128,285052.8,23.1,3.0,30.318312,59.95694,1.48,68.0,34650.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,115757,263780.52452830196
129,208133.4,23.6,6.0,30.252896,59.955939,8.33,52.0,75000.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,206680,259361.0213114754
130,304055.0,23.68,12.0,30.312446,59.902154,2.36,67.0,54930.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,155981,248729.14379084966
131,325443.0,23.9,3.0,30.235397,60.03567,11.24,81.0,31070.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,699243,269920.7057777778
132,300000.0,24.0,1.0,30.350857,59.9358,2.62,20.0,157904.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,200654,241670.61921397378
133,249272.6,24.0,3.0,30.177447,59.838019,17.19,62.0,90000.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,431546,251833.7180952381
134,300000.0,24.0,7.0,30.319848,59.855304,4.18,55.0,49280.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,335221,276841.92173913046
135,262179.4,24.0,25.0,30.381194,59.802576,9.36,15.0,67200.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,263732,216441.6716981132
136,279890.8,24.4,21.0,30.275094,59.994868,6.49,56.0,65000.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,699243,269920.7057777778
137,290086.2,24.6,3.0,30.256894,59.990012,8.25,115.0,34440.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,699243,269920.7057777778
138,264228.0,24.6,4.0,30.29094,60.01074,5.51,84.0,59810.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,699243,269920.7057777778
139,272358.0,24.6,16.0,30.312446,59.905998,2.23,68.0,62000.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,155981,248729.14379084966
140,218389.2,25.0,1.0,30.317314,59.909788,1.72,54.0,45000.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,155981,248729.14379084966
141,244349.0,25.0,5.0,30.204962,60.033908,14.3,19.0,89000.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,699243,269920.7057777778
142,218389.2,25.0,6.0,30.453346,60.03567,15.15,56.0,32500.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,366971,235136.75221238937
143,218054.2,25.0,9.0,30.38246,59.92497,6.16,62.0,66000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,200654,241670.61921397378
144,214892.2,25.4,1.0,30.41126,59.928217,9.35,42.0,66040.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,366971,235136.75221238937
145,236221.0,25.4,5.0,30.297156,59.956899,3.52,48.0,53504.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,115757,263780.52452830196
146,208133.4,26.0,1.0,30.306094,59.896946,3.05,50.0,50000.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,155981,248729.14379084966
147,208133.4,26.0,2.0,30.346644,59.928194,2.19,49.0,60000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,200654,241670.61921397378
148,201152.4,26.0,10.0,30.343905,59.965966,2.44,44.0,55000.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,541590,236507.11325301204
149,221154.0,26.0,14.0,30.333619,59.982059,2.52,66.0,59930.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,541590,236507.11325301204
150,270000.0,26.08,5.0,30.308322,59.754121,9.41,12.0,122800.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,335221,276841.92173913046
151,204046.0,26.1,9.0,30.373693,59.812197,8.4,32.0,69500.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,263732,216441.6716981132
152,178334.0,27.0,1.0,30.275992,59.94431,5.72,50.0,60950.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,206680,259361.0213114754
153,178334.0,27.0,1.0,30.275992,59.94431,5.72,50.0,60950.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,206680,259361.0213114754
154,208133.4,27.0,1.0,30.317539,59.840659,4.96,53.0,59400.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,335221,276841.92173913046
155,147778.0,27.0,5.0,30.350274,59.916618,2.74,56.0,49604.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,200654,241670.61921397378
156,440741.0,27.0,7.0,30.346016,59.92023,2.23,73.0,55730.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,200654,241670.61921397378
157,222987.6,27.0,9.0,30.362311,59.924984,3.94,41.0,95000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,200654,241670.61921397378
158,231617.0,27.0,27.0,30.26382,59.852565,8.11,27.0,60000.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,335774,235598.56981132075
159,379920.0,27.19,19.0,30.184849,59.942245,15.84,15.0,70840.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,206680,259361.0213114754
160,225887.0,27.6,3.0,30.376918,59.926359,5.54,61.0,67620.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,200654,241670.61921397378
161,361011.0,27.7,1.0,30.319722,59.87131,3.39,77.0,65800.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,335221,276841.92173913046
