,squares,max_floor,metro_1km,latitude,longitude,parkings_1km,distance_to_center,mean_distr_pps
207,48.0,10.0,1.0,59.900173,30.362724,29.0,5.91,245996.38888888888
208,48.7,7.0,1.0,59.873266,30.446474,19.0,15.33,218420.79166666663
209,48.8,4.0,3.0,59.925146,30.345863,59.0,3.77,254919.1581632653
210,49.0,5.0,0.0,59.965912,30.382047,30.0,7.9,261699.9675
211,49.0,6.0,2.0,59.876237,30.327223,54.0,3.48,284126.8703125
212,49.0,6.0,3.0,59.925146,30.345863,59.0,3.77,254919.1581632653
213,49.0,12.0,0.0,59.951506,30.488551,26.0,19.6,222474.55818181817
214,49.0,14.0,2.0,59.959332,30.290113,66.0,2.72,288191.65576923074
215,49.0,8.0,1.0,59.885616,30.442773,17.0,14.77,218420.79166666663
216,49.2,6.0,1.0,59.962224,30.306642,44.0,1.43,288191.65576923074
217,49.2,12.0,1.0,59.919581,30.465348,44.0,17.03,218420.79166666663
218,49.2,16.0,0.0,60.038573,30.199195,9.0,13.37,279766.9102439024
219,49.3,26.0,1.0,59.938703,30.389737,26.0,8.6,254919.1581632653
220,49.5,14.0,1.0,59.897952,30.30755,54.0,2.0,277500.88611111115
221,49.6,5.0,4.0,59.94417,30.356822,34.0,4.95,254919.1581632653
222,49.8,2.0,3.0,59.862321,30.319839,58.0,3.84,284126.8703125
223,49.8,2.0,0.0,60.050179,30.370153,41.0,8.79,225573.17423312887
224,50.0,1.0,0.0,59.719555,30.405978,21.0,15.73,189180.75698924728
225,50.0,1.0,1.0,59.921538,30.467899,46.0,17.31,218420.79166666663
226,50.0,2.0,0.0,59.719555,30.405978,21.0,15.73,189180.75698924728
227,50.0,3.0,2.0,59.86148,30.322812,46.0,3.97,284126.8703125
228,50.0,3.0,5.0,59.922341,30.350588,48.0,4.31,254919.1581632653
229,50.0,4.0,0.0,59.788493,30.14394,20.0,19.67,282094.2408163265
230,50.0,4.0,1.0,59.946631,30.272354,44.0,4.48,261970.0192
231,50.0,4.0,0.0,59.921646,30.285891,62.0,3.04,277500.88611111115
232,50.0,5.0,1.0,59.904053,30.347659,55.0,4.27,245996.38888888888
233,50.0,5.0,4.0,59.932495,30.358134,22.0,5.09,254919.1581632653
234,50.0,5.0,1.0,59.877696,30.443258,18.0,14.92,218420.79166666663
235,50.0,8.0,0.0,59.942268,30.392297,22.0,8.89,254919.1581632653
