,squares,rent_per_month,max_floor,latitude,longitude
554,125.2,360000.0,18.0,30.331903,59.922242
555,26.1,69500.0,9.0,30.373693,59.812197
556,86.0,70000.0,,30.26832,59.935475
557,55.0,100000.0,10.0,30.1677,59.866734
560,162.0,202500.0,6.0,30.3299,59.831272
561,78.98,120000.0,3.0,30.340617,59.958417
563,64.0,100000.0,12.0,30.36674,59.998409
564,81.0,81000.0,25.0,29.78111,59.908385
565,45.5,100000.0,1.0,30.342404,59.905357
566,194.0,130000.0,,30.342341,59.854237
568,75.0,135000.0,4.0,30.41594,59.847268
569,161.5,209950.0,23.0,30.312185,59.936846
570,67.0,70000.0,25.0,30.328373,60.040964
571,140.0,350000.0,4.0,30.276001,59.942025
572,130.2,143220.0,25.0,30.405789,59.924258
573,99.0,170000.0,20.0,30.276001,59.942025
574,109.0,163500.0,15.0,30.315105,59.852908
575,21.9,60000.0,2.0,30.093041,59.825407
577,60.0,60000.0,10.0,30.581311,59.735704
578,140.0,224000.0,3.0,30.07176,59.731786
579,30.0,180000.0,1.0,30.318096,59.788416
580,70.8,80000.0,13.0,30.358529,59.804961
586,57.0,171000.0,8.0,30.393563,59.859922
587,119.3,139990.0,,30.476226,59.945738
589,100.0,149000.0,4.0,30.338245,59.861833
590,20.0,39000.0,3.0,30.418186,60.034978
593,52.5,50000.0,13.0,30.358107,59.806174
594,127.7,166010.0,3.0,30.262939,59.879615
595,50.0,80000.0,3.0,30.322812,59.86148
596,25.4,66040.0,1.0,30.41126,59.928217
597,40.0,69000.0,1.0,30.482685,60.00751
598,130.0,195000.0,1.0,30.212822,59.861539
600,60.0,350000.0,5.0,30.083303,59.729255
602,58.0,145000.0,3.0,30.083303,59.729255
603,150.0,400000.0,10.0,30.480889,59.9229
604,151.6,212000.0,1.0,30.312392,60.06927
605,50.0,99000.0,27.0,30.331202,59.922066
606,96.0,100000.0,11.0,30.447813,59.95593
607,31.3,62600.0,3.0,30.259966,59.969957
609,72.8,210000.0,7.0,30.37133,59.955471
610,22.0,55000.0,25.0,30.363209,59.831865
611,65.0,46800.0,2.0,30.307298,60.000294
613,84.7,145000.0,2.0,30.296402,59.955885
615,40.5,40000.0,2.0,30.387428,59.858349
616,57.2,170000.0,10.0,30.408233,59.702404
618,103.3,279000.0,5.0,30.43865,59.931936
619,100.0,170000.0,21.0,30.43865,59.931936
623,200.0,300000.0,2.0,30.26382,59.852565
625,97.5,100000.0,26.0,30.406787,59.956219
627,60.4,151000.0,5.0,30.306229,59.900448
628,139.4,370000.0,9.0,30.199195,60.038573
629,70.0,60000.0,,30.221482,60.000726
634,151.0,528500.0,11.0,30.344336,60.072094
635,49.0,63700.0,,30.442773,59.885616
639,129.0,380000.0,15.0,30.30755,59.897952
640,66.0,140000.0,19.0,30.203112,59.930791
641,55.0,137500.0,25.0,30.402672,60.011356
642,40.0,60000.0,25.0,30.49218,59.94613
643,89.1,138105.0,25.0,30.480583,59.953034
644,97.3,48553.0,,30.395028,59.831444
645,75.0,120000.0,4.0,30.395028,59.831444
646,194.0,200000.0,,30.470827,59.855692
647,120.0,336000.0,3.0,30.006264,60.054693
648,164.0,164000.0,5.0,30.374654,59.930137
649,106.1,233420.0,9.0,30.356921,59.931851
650,115.0,300000.0,9.0,30.356921,59.931851
652,134.0,80000.0,12.0,30.245467,59.948658
653,31.1,60000.0,16.0,30.330717,59.8977
654,100.0,499000.0,4.0,30.330717,59.8977
656,91.6,90000.0,12.0,30.311826,60.069068
659,85.5,100000.0,5.0,30.357415,59.929114
660,174.6,104760.0,,30.317117,59.924722
661,68.0,150000.0,5.0,30.098341,59.839918
662,65.0,100000.0,5.0,30.08112,59.729413
663,40.0,100000.0,5.0,30.438434,59.905276
665,160.5,240750.0,10.0,30.377582,59.928708
666,123.6,333720.0,12.0,30.267305,59.934091
669,84.7,70047.0,24.0,30.234346,60.036767
670,80.0,320000.0,1.0,30.375031,59.98958
671,138.0,207000.0,25.0,30.480646,60.010866
673,164.0,574000.0,5.0,30.371043,59.830558
674,94.0,188000.0,8.0,30.363209,59.831865
676,109.0,186000.0,15.0,30.289556,59.959471
679,177.5,230000.0,5.0,30.360739,59.946207
680,23.9,31070.0,3.0,30.235397,60.03567
681,24.6,34440.0,3.0,30.256894,59.990012
682,55.1,240000.0,24.0,30.349375,59.841844
685,65.0,105488.0,24.0,30.313047,59.907988
686,98.0,127400.0,4.0,30.447741,59.957967
687,73.9,185000.0,3.0,30.347659,59.904053
688,22.7,45000.0,25.0,30.394453,59.939956
690,171.8,180000.0,12.0,30.322246,59.962697
692,116.0,406350.0,13.0,30.413317,59.95334
695,157.5,173250.0,21.0,30.313811,59.966457
697,170.0,85000.0,,30.232891,59.952074
699,85.0,150000.0,5.0,30.2026,60.030245
700,70.7,265000.0,14.0,30.347659,59.904053
701,91.0,100000.0,23.0,30.432721,59.883137
702,105.0,170000.0,15.0,30.322246,59.962697
704,131.6,184000.0,15.0,30.343905,59.965966
706,80.0,380000.0,3.0,30.326244,60.039661
707,45.0,70000.0,4.0,30.355681,59.958224
709,76.1,150000.0,5.0,30.581733,59.735487
711,100.0,160000.0,4.0,30.254271,59.89765
713,52.5,115500.0,20.0,30.312392,60.06927
714,95.44,200424.0,9.0,30.459545,59.897063
715,148.24,207536.0,15.0,30.092197,59.844615
