,price_per_square,full_price,rent_per_month,squares,max_floor,latitude,longitude,metro_250m,metro_500m,metro_1km,parkings_1km,rent_per_square_m,distance_to_center,population,mean_distr_pps,pop_per_park
69,345911.0,13601400.0,95000.0,31.4,25.0,30.343922,59.923978,0.0,1.0,4.0,76.0,3025.4777070063697,3.56,200654,254919.1581632653,52421.80639978578
70,282003.8,7858000.0,60000.0,31.6,9.0,30.381095,59.924835,0.0,2.0,2.0,63.0,1898.7341772151897,7.66,200654,254919.1581632653,43454.91846298032
71,297641.2,9158000.0,44520.0,31.8,3.0,30.336763,59.982748,0.0,0.0,1.0,65.0,1400.0,3.6,541590,225573.17423312887,44834.43968402731
72,141510.0,4500000.0,117568.0,31.8,5.0,30.33149,60.037063,0.0,0.0,1.0,83.0,3697.106918238994,5.55,541590,225573.17423312887,57250.13067345026
73,205206.6,7348200.0,64880.0,32.0,1.0,30.405978,59.719555,0.0,0.0,0.0,21.0,2027.5,15.73,263732,189180.75698924728,14484.97282099344
74,354955.6,12159800.0,70000.0,32.0,18.0,30.302124,59.912414,0.0,1.0,1.0,58.0,2187.5,1.66,155981,277500.88611111115,40006.115410362836
75,270402.6,10610512.0,48000.0,32.0,20.0,30.209391,60.003232,0.0,0.0,1.0,109.0,1500.0,11.84,699243,279766.9102439024,75183.90654706118
76,357861.4,11619800.0,24000.0,32.0,7.2,30.295755,59.986902,0.0,0.0,2.0,58.0,750.0,3.09,699243,279766.9102439024,40006.115410362836
77,351218.8,11919800.0,50000.0,32.0,5.0,30.304621,59.960435,0.0,0.0,1.0,43.0,1562.5,1.47,115757,288191.65576923074,29659.706252510376
78,297641.2,9158000.0,48300.0,32.2,6.0,30.340617,59.958417,0.0,0.0,1.0,39.0,1499.9999999999998,3.33,541590,225573.17423312887,26900.663810416387
79,332029.0,9761112.0,80000.0,32.4,4.0,30.26479,59.960007,0.0,0.0,1.0,35.0,2469.135802469136,5.41,115757,288191.65576923074,24141.621368322398
80,117284.0,3800000.0,107528.0,32.4,6.0,30.373836,59.933645,0.0,0.0,0.0,60.0,3318.7654320987654,6.83,200654,254919.1581632653,41385.63663140983
81,220184.0,7200000.0,115568.0,32.7,5.0,30.345854,59.917209,0.0,1.0,3.0,74.0,3534.1896024464827,3.85,200654,254919.1581632653,51042.285178738784
82,158537.0,5200000.0,115568.0,32.8,18.0,30.331535,60.017292,0.0,0.0,0.0,75.0,3523.414634146342,4.63,541590,225573.17423312887,51732.04578926229
83,205206.6,7348200.0,120000.0,33.0,1.0,30.459545,59.897063,0.0,0.0,0.0,40.0,3636.363636363637,16.51,547896,218420.79166666666,27590.424420939886
84,290434.0,11039312.0,49500.0,33.0,3.0,30.224815,59.853211,0.0,0.0,0.0,56.0,1500.0,10.45,335774,239969.54054054053,38626.59418931584
85,293940.0,9700000.0,94568.0,33.0,5.0,30.297237,59.966493,0.0,0.0,1.0,43.0,2865.696969696969,2.24,115757,288191.65576923074,29659.706252510376
86,261538.2,10076080.0,60000.0,33.0,5.0,30.414476,59.951285,0.0,0.0,0.0,32.0,1818.1818181818185,11.38,366971,222474.55818181817,22072.339536751908
87,111608.0,3750000.0,80541.8,33.6,25.0,30.369282,59.806821,0.0,0.0,0.0,31.0,2397.0773809523807,9.32,263732,189180.75698924728,21382.578926228412
88,190000.0,6441000.0,62366.8,33.9,9.0,30.449978,59.956836,0.0,0.0,0.0,15.0,1839.7286135693216,15.34,366971,222474.55818181817,10346.409157852457
89,293033.6,9179312.0,70000.0,34.0,9.0,30.247381,60.010124,0.0,0.0,0.0,109.0,2058.823529411765,8.01,699243,279766.9102439024,75183.90654706118
90,257226.0,8900000.0,74840.0,34.6,18.0,30.421196,59.890681,0.0,1.0,1.0,34.0,2163.0057803468208,12.36,547896,218420.79166666666,23451.860757798902
91,236312.0,8200000.0,94568.0,34.7,3.0,30.337787,59.946946,0.0,0.0,1.0,21.0,2725.302593659942,2.87,200654,254919.1581632653,14484.97282099344
92,322745.6,10079312.0,40000.0,35.0,5.0,30.263173,60.005549,0.0,0.0,1.0,108.0,1142.857142857143,6.38,699243,279766.9102439024,74494.1459365377
93,206378.4,7054440.0,70000.0,35.0,6.0,30.402672,60.011356,0.0,0.0,1.0,40.0,2000.0,10.83,536794,261699.96749999997,27590.424420939886
94,357861.4,11619800.0,30000.0,35.0,15.0,30.279298,59.939974,1.0,1.0,1.0,48.0,857.1428571428571,3.69,206680,261970.0192,33108.50930512786
95,270012.0,10188000.0,52000.0,35.4,5.0,30.329738,59.955741,0.0,0.0,0.0,20.0,1468.9265536723165,2.16,115757,288191.65576923074,13795.212210469943
96,267606.0,9500000.0,94568.0,35.5,5.0,30.323279,59.913447,0.0,0.0,7.0,40.0,2663.887323943662,1.68,155981,277500.88611111115,27590.424420939886
97,363381.0,12900000.0,99528.0,35.5,6.0,30.37566,59.925453,0.0,0.0,1.0,73.0,2803.605633802817,7.06,200654,254919.1581632653,50352.52456821529
98,243932.6,8775051.6,80000.0,36.0,1.0,30.332999,60.075344,0.0,1.0,1.0,36.0,2222.222222222222,7.45,541590,225573.17423312887,24831.381978845897
99,277500.0,9990000.0,113260.0,36.0,2.0,30.276163,59.939027,0.0,1.0,1.0,37.0,3146.1111111111118,4.03,206680,261970.0192,25521.142589369392
100,283334.0,10200000.0,113260.0,36.0,2.0,30.276163,59.939027,0.0,1.0,1.0,37.0,3146.1111111111118,4.03,206680,261970.0192,25521.142589369392
101,357861.4,11619800.0,37980.0,36.0,4.0,30.276639,59.903241,1.0,1.0,1.0,39.0,1055.0,4.29,155981,277500.88611111115,26900.663810416387
102,201070.6,7110000.0,85000.0,36.0,10.0,30.358107,59.806174,0.0,0.0,0.0,15.0,2361.1111111111118,8.5,263732,189180.75698924728,10346.409157852457
103,123967.0,4500000.0,109316.0,36.3,19.0,30.213846,59.95229,0.0,0.0,1.0,69.0,3011.460055096419,10.98,206680,261970.0192,47593.4821261213
104,398681.0,14500000.0,115568.0,36.37,12.0,30.338083,59.880582,0.0,0.0,0.0,19.0,3177.5639263128955,4.05,335221,284126.8703125,13105.451599946446
105,77028.0,2850000.0,99528.0,37.0,1.0,30.375516,59.936282,0.0,0.0,0.0,50.0,2689.945945945946,7.02,200654,254919.1581632653,34488.03052617486
106,208878.0,8190000.0,48100.0,37.0,7.0,30.375507,59.802929,0.0,0.0,0.0,26.0,1300.0,9.98,263732,189180.75698924728,17933.775873610924
107,205406.0,7600000.0,89221.8,37.0,10.0,30.372291,59.831173,0.0,1.0,1.0,26.0,2411.4,8.69,335221,284126.8703125,17933.775873610924
108,386962.4,14619800.0,79000.0,37.0,14.0,30.299321,60.001671,0.0,1.0,2.0,74.0,2135.135135135135,3.53,699243,279766.9102439024,51042.285178738784
109,380583.6,16123800.0,65000.0,37.0,17.0,30.321536,59.985831,0.0,0.0,0.0,99.0,1756.7567567567569,2.69,699243,279766.9102439024,68286.30044182621
110,185984.0,6900000.0,91861.8,37.1,5.0,30.375651,59.860486,0.0,0.0,1.0,84.0,2476.0592991913745,8.11,413983,245996.38888888888,57939.89128397376
111,307251.0,11399000.0,94568.0,37.1,14.0,30.316183,59.857003,0.0,0.0,2.0,76.0,2549.0026954177897,4.02,335221,284126.8703125,52421.80639978578
112,318286.6,12690000.0,81840.0,37.2,5.0,30.322561,59.937486,0.0,0.0,5.0,17.0,2200.0,1.13,200654,254919.1581632653,11725.930378899451
113,190000.0,7083200.0,54501.8,37.28,5.0,30.387724,60.026051,0.0,0.0,0.0,50.0,1461.9581545064375,9.65,536794,261699.96749999997,34488.03052617486
114,304521.8,15400299.8,132000.0,37.5,25.0,30.2026,60.030245,0.0,0.0,0.0,18.0,3520.0,12.89,699243,279766.9102439024,12415.690989422948
115,234542.0,8800000.0,89221.8,37.52,14.0,30.372291,59.831173,0.0,1.0,1.0,26.0,2377.9797441364603,8.69,335221,284126.8703125,17933.775873610924
116,200000.0,7540000.0,144168.0,37.7,4.0,30.29094,60.01074,0.0,0.0,1.0,84.0,3824.084880636604,4.35,699243,279766.9102439024,57939.89128397376
117,185610.2,7270000.0,113000.0,37.8,14.0,30.371653,59.812193,0.0,0.0,0.0,33.0,2989.4179894179897,9.31,263732,189180.75698924728,22762.100147275403
118,249206.6,9204480.0,57000.0,38.0,4.0,30.439701,59.935209,1.0,1.0,1.0,36.0,1500.0,14.15,366971,222474.55818181817,24831.381978845897
119,318286.6,12690000.0,110000.0,38.0,5.0,30.328561,60.002099,0.0,0.0,0.0,78.0,2894.736842105264,3.79,541590,225573.17423312887,53801.32762083277
120,210500.0,7999000.0,66501.8,38.0,5.0,30.406849,59.927644,0.0,0.0,1.0,19.0,1750.0473684210526,10.51,366971,222474.55818181817,13105.451599946446
121,312178.0,11987629.0,95568.0,38.4,9.0,30.335083,60.011441,0.0,0.0,0.0,58.0,2488.75,4.59,541590,225573.17423312887,40006.115410362836
122,312178.0,11987629.0,95568.0,38.4,9.0,30.335083,60.011441,0.0,0.0,0.0,58.0,2488.75,4.59,541590,225573.17423312887,40006.115410362836
123,90390.0,3480000.0,94568.0,38.5,3.0,30.315679,59.959228,0.0,1.0,2.0,76.0,2456.311688311688,1.19,115757,288191.65576923074,52421.80639978578
124,387657.4,14579800.0,60000.0,39.0,1.0,30.299429,59.985908,1.0,1.0,2.0,60.0,1538.4615384615386,2.83,699243,279766.9102439024,41385.63663140983
125,141026.0,5500000.0,94568.0,39.0,5.0,30.338254,59.927806,0.0,1.0,4.0,55.0,2424.8205128205127,2.91,200654,254919.1581632653,37936.83357879234
126,200000.0,7800000.0,24149.0,39.0,9.0,30.474008,59.862352,0.0,1.0,1.0,34.0,619.2051282051282,18.47,547896,218420.79166666666,23451.860757798902
127,176924.0,6900000.0,83469.8,39.0,12.0,30.358287,59.810505,0.0,0.0,0.0,18.0,2140.251282051282,8.33,263732,189180.75698924728,12415.690989422948
128,335968.4,13399800.0,78000.0,39.0,18.0,30.315105,59.852908,0.0,0.0,1.0,77.0,2000.0,4.21,335221,284126.8703125,53111.56701030928
129,242967.0,9500000.0,94568.0,39.1,6.0,30.294192,59.920303,0.0,0.0,1.0,56.0,2418.618925831202,2.18,155981,277500.88611111115,38626.59418931584
130,276747.6,10539400.0,110600.0,39.5,15.0,30.35181,59.932468,0.0,2.0,6.0,21.0,2800.0,4.39,200654,254919.1581632653,14484.97282099344
131,281613.8,10178912.0,120000.0,40.0,1.0,30.241901,60.041251,0.0,0.0,0.0,63.0,3000.0,9.22,699243,279766.9102439024,43454.91846298032
132,336799.2,14720000.0,50000.0,40.0,1.0,30.31523,59.851209,0.0,0.0,1.0,74.0,1250.0,4.3,335221,284126.8703125,51042.285178738784
133,242804.8,11390000.0,69000.0,40.0,1.0,30.482685,60.00751,0.0,0.0,0.0,32.0,1725.0,19.37,366971,222474.55818181817,22072.339536751908
134,203054.0,9498200.0,36000.0,40.0,2.0,30.480889,59.9229,0.0,0.0,0.0,31.0,900.0,18.75,547896,218420.79166666666,21382.578926228412
135,329892.4,14350000.0,60000.0,40.0,4.0,30.336808,59.937616,0.0,1.0,2.0,26.0,1500.0,2.71,200654,254919.1581632653,17933.775873610924
136,249206.6,9204480.0,100000.0,40.0,5.0,30.438434,59.905276,0.0,0.0,0.0,15.0,2500.0,14.12,547896,218420.79166666666,10346.409157852457
137,225000.0,8999999.0,95568.0,40.0,6.0,30.35269,59.926381,0.0,3.0,6.0,23.0,2389.2,4.51,200654,254919.1581632653,15864.494042040435
138,243270.4,9120000.0,80000.0,40.0,9.0,30.382918,59.924172,1.0,2.0,2.0,68.0,2000.0,7.87,200654,254919.1581632653,46903.721515597805
139,301507.2,12941400.0,65000.0,40.0,25.0,30.347228,59.910762,0.0,1.0,3.0,74.0,1625.0,4.1,413983,245996.38888888888,51042.285178738784
140,268429.4,13378500.0,60000.0,40.0,25.0,30.49218,59.94613,0.0,0.0,0.0,22.0,1500.0,20.0,366971,222474.55818181817,15174.733431516937
141,238462.0,8959800.0,40000.0,40.5,2.0,30.387428,59.858349,0.0,0.0,1.0,54.0,987.6543209876544,9.34,413983,245996.38888888888,37247.07296826885
142,283951.0,11500000.0,97688.0,40.5,5.0,30.359912,59.938928,0.0,2.0,3.0,22.0,2412.0493827160494,5.28,200654,254919.1581632653,15174.733431516937
143,420000.0,17081400.0,66501.8,40.67,10.0,30.429685,59.881358,0.0,0.0,0.0,23.0,1635.1561347430538,13.4,547896,218420.79166666666,15864.494042040435
144,242804.8,11390000.0,80000.0,41.0,1.0,30.490617,59.900064,0.0,0.0,1.0,28.0,1951.219512195122,19.93,547896,218420.79166666666,19313.29709465792
