,price_per_square
314,350000.0
924,171850.6
1086,229954.0
1238,151819.4
472,147270.0
872,189951.0
240,176413.0
1572,342466.0
816,123702.0
489,257900.0
218,331531.8
448,335000.0
1567,240000.0
884,390000.0
1237,181063.0
642,75461.0
80,117284.0
1490,75610.0
1235,180204.4
661,425274.0
1471,258224.4
292,399275.0
1033,275941.0
158,313721.0
280,52546.0
85,293940.0
1212,215862.6
740,346500.0
155,389151.0
233,440000.0
1105,320225.0
616,146270.0
1068,40164.0
1175,360000.0
1464,149650.0
1192,230023.0
1174,238498.6
666,300000.0
169,315910.0
1325,255090.0
174,215349.0
741,310422.0
425,241003.0
827,204082.0
347,350000.0
458,128429.0
361,188525.0
1101,188865.0
246,335000.0
1540,218107.0
668,181071.0
879,107213.0
649,250915.0
635,70284.0
822,316096.6
919,277882.0
893,315608.0
1344,260327.0
586,270754.6
1006,223527.4
1245,156161.2
833,301830.0
115,234542.0
433,358209.0
1146,235000.0
852,381707.2
404,300855.2
1548,99600.0
756,250000.0
755,273013.4
658,244810.6
1131,301269.6
1418,402577.0
1532,163050.0
990,227222.8
220,409072.4
237,340460.4
1056,372943.0
1144,249045.0
953,393637.0
1449,258913.0
151,189286.0
719,150000.0
19,235881.2
614,125000.0
1356,158193.0
328,317646.0
427,269253.0
710,323000.0
1416,231293.6
1451,238488.6
127,176924.0
516,294118.0
1069,235455.2
542,244494.6
885,401509.8
1270,98033.0
1029,284206.8
1506,200509.0
1126,301457.0
1457,306083.0
1091,260494.4
1366,202225.0
1061,335576.0
883,252460.6
1191,282538.6
18,247455.0
1465,174681.8
838,275000.0
1326,205172.0
904,202000.0
1180,256257.6
455,230328.6
698,181071.0
48,351000.0
744,292223.8
1282,251613.0
511,294521.0
736,206268.6
506,287647.4
1576,200000.0
797,440000.0
341,292146.4
1262,263158.0
1010,228476.2
1107,268657.0
258,153136.2
356,259017.0
830,255103.0
861,266755.4
1467,219329.4
1555,171103.0
1084,297779.0
691,259806.6
1334,151516.0
355,229581.0
496,128988.0
795,255252.6
1557,300000.0
1168,189396.4
1193,161268.0
397,239654.6
330,225000.0
288,268234.0
235,380000.0
1057,250000.0
1225,268348.0
429,340808.0
1138,218716.4
937,363869.8
1040,217204.4
539,265043.2
1133,264640.8
195,297873.0
1247,229389.0
903,113961.0
144,242804.8
886,262414.4
59,274510.0
1100,298685.2
1048,207160.6
210,118368.0
1399,277371.6
582,332000.0
1125,219540.2
920,330376.0
122,312178.0
1333,407295.0
593,401094.6
479,147453.2
826,220454.6
1491,151220.0
812,246588.0
369,227173.2
1488,159627.0
1053,210622.8
1013,163160.6
368,166655.6
847,321000.0
255,276426.0
295,198556.0
1402,179311.0
261,226416.0
630,343895.6
1512,294521.0
876,401000.0
159,175582.0
266,214916.0
1063,179453.4
116,200000.0
865,358841.6
457,161270.0
201,334030.0
842,440000.0
688,169474.0
594,190264.0
102,201070.6
922,211016.8
1201,308076.4
114,304521.8
927,197798.0
73,205206.6
1308,151349.8
988,280590.4
976,280000.0
946,227273.0
1037,171539.0
948,170910.0
802,275997.0
1039,179534.6
853,249656.0
60,276873.0
93,206378.4
421,332785.6
966,325204.0
1082,144231.0
1359,305703.0
619,246120.2
1172,212996.8
1095,296678.0
24,281912.4
810,440000.0
577,200000.0
1198,261146.0
900,288993.8
380,123810.0
403,226493.2
1062,347108.0
1575,384616.0
99,277500.0
1044,239094.0
1322,189229.8
1043,186992.6
717,256385.4
464,249409.2
1170,212963.2
1034,258823.0
546,292316.0
178,194394.6
269,283719.4
297,269300.0
279,134546.0
303,380000.0
183,84445.0
365,304000.0
168,215349.0
39,262535.8
1476,174831.2
423,317645.0
1511,150000.0
575,194806.0
362,151056.6
1323,115433.0
56,297641.2
829,301729.8
650,319200.0
561,249541.0
704,339081.0
1361,158193.0
432,205971.0
981,266557.4
859,380000.0
70,282003.8
64,322745.6
581,337000.0
662,387879.0
434,143917.0
242,353151.0
950,124546.0
982,312500.0
76,357861.4
1181,265710.0
1077,209800.0
1521,357000.0
882,204973.0
462,180000.0
559,206926.8
828,206619.0
285,145455.0
289,342285.6
714,319083.0
1536,326582.0
1116,230355.0
493,255556.0
523,353742.0
58,197369.0
333,261865.0
549,450000.0
126,200000.0
850,253729.8
824,276116.0
1473,258224.4
1233,340000.0
1190,212766.0
811,178904.0
1480,225000.0
622,373769.2
5,251691.6
897,217333.8
901,303185.6
51,249702.0
1232,55334.0
1565,41072.0
405,274718.4
1292,319489.0
152,368600.0
751,245776.4
837,316879.2
889,359285.8
1531,161432.0
1242,225248.2
553,225003.4
1388,154099.6
72,141510.0
143,420000.0
1085,271046.0
774,211577.2
909,392360.0
137,225000.0
345,228967.4
921,180914.0
579,181559.0
526,271371.0
773,362704.0
613,131250.0
1383,361112.0
980,178723.0
985,312500.0
136,249206.6
262,292728.2
484,372192.0
120,210500.0
1122,65385.0
205,209375.0
69,345911.0
1515,127153.0
1047,330084.0
101,357861.4
89,293033.6
336,254181.0
344,338589.0
1363,218151.0
1090,239799.0
2,332892.0
625,311415.0
335,420169.0
395,150000.0
1570,129624.0
385,223015.2
1412,129033.0
1036,236166.8
419,235563.0
787,440000.0
74,354955.6
291,192481.4
867,175000.0
754,132531.0
610,148816.2
1274,175267.8
1210,350000.0
1340,195676.4
487,263300.0
514,216473.0
1279,377114.0
112,318286.6
1479,280000.0
71,297641.2
150,143199.0
1167,167884.0
868,350000.0
944,211800.0
588,259278.4
334,281145.0
294,433213.0
952,230764.8
182,205428.6
1504,115814.0
564,298000.0
1355,295748.8
1501,220000.0
670,263856.0
1404,239080.8
1102,357085.0
372,197263.0
22,242867.6
667,447848.0
1549,280000.0
119,318286.6
1259,200692.8
1305,149057.0
959,209656.2
1538,119786.0
599,378482.0
772,310000.0
1286,152975.2
1072,134365.0
1038,214587.4
716,343116.0
1076,300081.0
302,340998.8
543,329441.2
945,346645.8
639,390490.8
447,333189.0
16,281912.4
78,297641.2
1387,165877.2
1559,170030.0
521,381094.6
968,338375.0
371,378406.0
454,281704.0
1230,187827.0
1009,192814.0
234,217769.6
1281,173549.0
43,282003.8
689,256385.4
1337,333313.0
1240,140624.6
1002,270000.0
938,280514.0
764,440000.0
991,180914.0
849,385000.0
1545,212205.0
1544,356558.0
1460,256131.0
23,293942.8
283,103637.0
750,351649.0
999,351980.0
1096,450000.0
84,290434.0
299,337966.2
525,189107.2
644,217095.6
617,261663.6
1012,188342.2
358,278689.0
1139,170768.6
485,275300.2
702,277137.0
870,205000.0
327,295245.4
318,292467.8
1330,231708.0
1510,285000.0
762,413278.4
228,173800.0
983,203271.4
1173,260000.0
1564,184662.0
11,321331.6
176,262108.4
648,218802.8
776,321128.0
1552,161428.0
947,180914.0
217,210570.8
1439,135000.0
475,76272.0
225,210570.8
481,219719.0
869,380000.0
348,337966.2
1472,258651.6
