,price_per_square,full_price,rent_per_month,squares,max_floor,latitude,longitude,metro_250m,metro_500m,metro_1km,parkings_1km,rent_per_square_m,distance_to_center,Pushkinsky,Kolpinsky,Primorsky,Tsentralny,Kalininsky,Krasnogvardeysky,Admiralteysky,Vyborgsky,Frunzensky,Nevsky,Petrogradsky,Vasileostrovsky,Krasnoselsky,Kirovsky,Moskovsky,Kronshtadtsky,Kurortny,Petrodvortsovy,population,mean_distr_pps
44,351785.8,11040000.0,49980.0,28.0,5.0,30.312419,59.864064,0.0,0.0,0.0,86.0,1785.0,3.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,335221,284126.8703125
45,428572.0,12000000.0,92261.8,28.0,9.0,30.374124,59.869562,0.0,0.0,2.0,0.0,3295.0642857142857,7.73,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,413983,245996.38888888888
46,228516.4,8738200.0,81200.0,28.0,15.0,30.470702,59.894897,0.0,0.0,0.0,31.0,2900.0,17.76,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,547896,218420.79166666666
47,313679.0,9518000.0,100000.0,28.2,6.0,30.326055,59.933041,1.0,1.0,6.0,20.0,3546.099290780142,1.53,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200654,254919.1581632653
48,351000.0,10164960.0,91101.8,28.96,5.0,30.308322,59.754121,0.0,0.0,0.0,0.0,3145.780386740332,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,335221,284126.8703125
49,357861.4,11619800.0,72750.0,29.0,2.0,30.289512,59.908502,0.0,0.0,0.0,47.0,2508.620689655173,2.89,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,155981,277500.88611111115
50,99656.0,2890000.0,92261.8,29.0,5.0,30.388748,59.945855,0.0,0.0,0.0,0.0,3181.441379310345,8.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200654,254919.1581632653
51,249702.0,7750000.0,85000.0,29.0,25.0,30.389737,59.938703,0.0,0.0,1.0,26.0,2931.0344827586205,8.6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200654,254919.1581632653
52,246206.0,9499312.0,70800.0,29.5,2.0,30.207648,60.034474,0.0,0.0,0.0,23.0,2400.0,12.44,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,699243,279766.9102439024
53,283334.0,8500000.0,99000.0,30.0,1.0,30.246536,59.930264,0.0,0.0,0.0,0.0,3300.0,7.33,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,206680,261970.0192
54,151695.6,5004640.0,75000.0,30.0,3.0,30.368294,60.040177,0.0,0.0,0.0,55.0,2500.0,8.27,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,541590,225573.17423312887
55,314968.4,10420000.0,110000.0,30.0,5.0,30.313955,59.851598,0.0,0.0,1.0,76.0,3666.6666666666665,4.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,335221,284126.8703125
