WKT	NAME	NAME_EN	NAME_RU	RAILWAY	REF	OSM_TYPE	OSM_ID
"POLYGON ((30.5637752 59.8073642,30.5608158 59.8084945,30.5608352 59.8085074,30.5608552 59.8085206,30.5638146 59.8073903,30.5637946 59.8073771,30.5637752 59.8073642))"				platform		way	"38182308"
"POLYGON ((30.3145296 60.0155639,30.3135616 60.0173821,30.3136748 60.0173969,30.3140364 60.0167175,30.3141359 60.0167306,30.3142764 60.0164649,30.3141986 60.0164546,30.3142194 60.0164153,30.3142972 60.0164256,30.3143109 60.0164,30.3144176 60.0162007,30.314329 60.016189,30.3143009 60.0161853,30.3143926 60.0160118,30.3144174 60.0160151,30.3144872 60.0160243,30.3145676 60.0158695,30.3144868 60.0158589,30.3145911 60.0156631,30.3146354 60.0155778,30.3145296 60.0155639))"				platform	"1"	way	"39596899"
"POLYGON ((30.313115 60.0176989,30.313045 60.0178273,30.313024 60.0178657,30.3127976 60.018281,30.3127805 60.0183124,30.3125677 60.0187026,30.3123441 60.0191125,30.3122328 60.0193167,30.3121207 60.0195222,30.3122141 60.0195349,30.3132083 60.0177116,30.313115 60.0176989))"				platform		way	"39596900"
"POLYGON ((30.3530091 59.9903679,30.3530061 59.9903815,30.3530032 59.990395,30.3541161 59.9904556,30.3548373 59.9904948,30.356566 59.9905888,30.3565778 59.9905345,30.354849 59.9904405,30.3541279 59.9904013,30.353015 59.9903407,30.3530091 59.9903679))"				platform		way	"45084033"
"POLYGON ((30.4227212 59.9886129,30.4227304 59.9886313,30.4227373 59.9886451,30.4242185 59.9884605,30.4257558 59.9882688,30.4268727 59.9881296,30.4268638 59.9881118,30.4268567 59.9880974,30.4227212 59.9886129))"				platform		way	"45084210"
"POLYGON ((30.4268435 59.9879377,30.4232799 59.9883914,30.4233138 59.9884581,30.4268774 59.9880044,30.4268435 59.9879377))"				platform		way	"45084228"
"POLYGON ((30.5118095 59.9815544,30.5158649 59.9810167,30.5158564 59.9810006,30.5158393 59.9809683,30.5158308 59.9809522,30.5117754 59.9814899,30.5117839 59.981506,30.5117924 59.9815222,30.5118095 59.9815544))"				platform	"1"	way	"45084306"
"POLYGON ((30.5479201 59.9798285,30.5504929 59.9810342,30.5505463 59.9810057,30.5479735 59.9798,30.5479201 59.9798285))"				platform		way	"45084339"
"POLYGON ((30.5477481 59.9795844,30.5504346 59.9808493,30.5504835 59.9808233,30.547797 59.9795584,30.5477725 59.9795714,30.5477481 59.9795844))"				platform		way	"45084348"
"POLYGON ((30.6134941 59.7506523,30.6135481 59.7506708,30.6135783 59.7506813,30.614266 59.7501607,30.6143461 59.7501894,30.6147537 59.7498744,30.6148069 59.7498334,30.6152077 59.749504,30.6151114 59.7494738,30.6157731 59.7489541,30.6156846 59.7489268,30.6134941 59.7506523))"				platform		way	"51433073"
