X	Y	POWER	OSM_TYPE	OSM_ID
30.4209442	59.8599994	tower	node	"672947134"
30.4252797	59.8545062	tower	node	"672947136"
30.4240265	59.8560712	tower	node	"672947138"
30.4225508	59.8579461	tower	node	"672947140"
30.4231981	59.861012	tower	node	"672947143"
30.4093746	59.8753124	tower	node	"672973374"
30.4034864	59.8794763	tower	node	"672973375"
30.4067799	59.8773484	tower	node	"672973376"
30.3998698	59.8831749	tower	node	"672973377"
30.4038221	59.8811841	tower	node	"672973378"
30.3999983	59.8843259	tower	node	"672973379"
30.4349493	59.842206	tower	node	"672973380"
30.4385071	59.8421754	tower	node	"672973382"
30.4418114	59.8421125	tower	node	"672973383"
30.4263373	59.8611269	tower	node	"672973384"
30.4263509	59.8613223	tower	node	"672973386"
30.4275157	59.861443	tower	node	"672973396"
30.4304111	59.8627133	tower	node	"672973398"
30.419958	59.8682449	tower	node	"672973399"
30.4138263	59.8726278	tower	node	"672973400"
30.4113691	59.8749551	tower	node	"672973401"
30.4169	59.8704232	tower	node	"672973402"
30.422319	59.8669036	tower	node	"672973403"
30.426468	59.8647553	tower	node	"672973404"
30.4023308	59.8866989	tower	node	"672979219"
30.4043725	59.8879834	tower	node	"672979220"
30.4092957	59.8888316	tower	node	"672979221"
30.412246	59.8895986	tower	node	"672979226"
30.3440641	59.8729924	tower	node	"672984003"
30.3433317	59.8746996	tower	node	"672984004"
30.3436126	59.87473	tower	node	"672984005"
30.3483517	59.8630186	tower	node	"672984006"
30.3486417	59.8630464	tower	node	"672984007"
30.3480671	59.8643521	tower	node	"672984008"
30.3465509	59.8672167	tower	node	"672984009"
30.3468296	59.8672404	tower	node	"672984010"
30.3476827	59.8645676	tower	node	"672984011"
30.3471203	59.8658899	tower	node	"672984012"
30.3473947	59.8659164	tower	node	"672984013"
30.346	59.8685424	tower	node	"672984014"
30.34629	59.8685632	tower	node	"672984015"
30.3454212	59.8698709	tower	node	"672984016"
30.3456911	59.869908	tower	node	"672984017"
30.3446407	59.871678	tower	node	"672984018"
30.3449165	59.8717058	tower	node	"672984019"
30.3443415	59.8730181	tower	node	"672984020"
30.3426142	59.8764123	tower	node	"672984021"
30.34288	59.8764441	tower	node	"672984022"
30.342027	59.8777306	tower	node	"672984023"
30.3423104	59.8777623	tower	node	"672984024"
30.3812485	59.979402	tower	node	"674278838"
30.3813337	59.9774427	tower	node	"674278840"
30.3844253	59.9783097	tower	node	"674278842"
30.3829765	59.9781045	tower	node	"674278843"
30.3837347	59.978154	tower	node	"674278844"
30.3835405	59.9775445	tower	node	"674278845"
30.3828139	59.9794113	tower	node	"674278847"
30.3844274	59.9791594	tower	node	"674278849"
30.3847863	59.979137	tower	node	"674278850"
30.384509	59.9794265	tower	node	"674278852"
30.3863193	59.978922	tower	node	"674278853"
30.3898341	59.9785018	tower	node	"674278856"
30.392766	59.9781722	tower	node	"674278857"
30.3938035	59.9780662	tower	node	"674278861"
30.3951705	59.9785166	tower	node	"674278863"
30.3969723	59.9777071	tower	node	"674278864"
30.4030467	59.9770304	tower	node	"674278868"
30.4001186	59.9773533	tower	node	"674278871"
30.406329	59.9766536	tower	node	"674278872"
30.4092019	59.9763288	tower	node	"674278874"
30.4128513	59.9759031	tower	node	"674278875"
30.4149121	59.9756756	tower	node	"674278877"
30.4175962	59.9754466	tower	node	"674278879"
30.380694	59.9765624	tower	node	"674354818"
30.3910114	59.9842797	tower	node	"674354821"
30.3921205	59.9859851	tower	node	"674354829"
30.3914571	59.9872238	tower	node	"674354832"
30.5431031	59.8320609	tower	node	"676210795"
30.4976395	59.9652426	tower	node	"692067254"
30.0726193	59.8434006	tower	node	"693783260"
30.0831775	59.8459535	tower	node	"693783264"
30.0679542	59.8422439	tower	node	"693783268"
30.0556045	59.8391896	tower	node	"693783270"
30.0699953	59.8431534	tower	node	"693783272"
30.0920743	59.8485926	tower	node	"693783274"
30.088747	59.8473108	tower	node	"693783276"
30.0779276	59.8446421	tower	node	"693783278"
30.0969359	59.8504495	tower	node	"693783282"
30.0593017	59.8400986	tower	node	"693783283"
30.0507875	59.8380013	tower	node	"693783285"
30.0625235	59.8409081	tower	node	"693783287"
30.2101449	59.8607062	tower	node	"699054046"
30.2141094	59.8604087	tower	node	"699054053"
30.2107574	59.8604662	tower	node	"699054111"
30.2154544	59.8615681	tower	node	"699054148"
30.206898	59.8607637	tower	node	"699054165"
30.2134256	59.8606378	tower	node	"699054179"
30.207111	59.8605367	tower	node	"699054215"
30.4501582	59.8654661	tower	node	"699982282"
30.4645843	59.8723917	tower	node	"699983157"
30.4427005	59.8629832	tower	node	"699983163"
30.4579352	59.8666146	tower	node	"699983325"
30.4479011	59.864714	tower	node	"699983504"
30.4604333	59.8687962	tower	node	"699983729"
30.4667443	59.8742833	tower	node	"699984043"
30.4531472	59.8663778	tower	node	"699984151"
30.4569411	59.8663255	tower	node	"699984587"
30.5034859	59.9588365	tower	node	"709016849"
30.5062035	59.956155	tower	node	"709016941"
30.4988374	59.9641438	tower	node	"709017018"
30.4981019	59.9651834	tower	node	"709017021"
30.500505	59.9616884	tower	node	"709017107"
30.5087897	59.953578	tower	node	"709017248"
30.2041776	59.8596882	tower	node	"726687909"
30.1707043	59.8468278	tower	node	"726687914"
30.210967	59.8462305	tower	node	"726687917"
30.2019846	59.857226	tower	node	"726687920"
30.1657115	59.8469313	tower	node	"726687921"
30.1944484	59.846351	tower	node	"726687934"
30.1819315	59.8466003	tower	node	"726687939"
30.195629	59.8465397	tower	node	"726687943"
30.2004135	59.8464502	tower	node	"726687944"
30.2038786	59.8599004	tower	node	"726687949"
30.1707805	59.8470518	tower	node	"726687964"
30.1994098	59.8548667	tower	node	"726687971"
30.1974599	59.8521234	tower	node	"726687977"
30.1998091	59.8547723	tower	node	"726687984"
30.1657257	59.8471587	tower	node	"726687989"
30.1762493	59.8467186	tower	node	"726688009"
30.1941326	59.8465773	tower	node	"726688012"
30.1847181	59.8467752	tower	node	"726688015"
30.1899667	59.8466639	tower	node	"726688018"
30.0678175	59.8426067	tower	node	"726688025"
30.1883537	59.8464701	tower	node	"726688027"
30.1957221	59.8476389	tower	node	"726688053"
30.2015905	59.8573184	tower	node	"726688058"
30.195947	59.8507038	tower	node	"726688061"
30.1958251	59.8491603	tower	node	"726688066"
30.1760558	59.8469555	tower	node	"726688069"
30.1796362	59.84688	tower	node	"726688071"
30.1955111	59.85076	tower	node	"726688075"
30.1981699	59.846495	tower	node	"726688078"
30.2057164	59.8463364	tower	node	"726688096"
30.1575091	59.8471108	tower	node	"726688109"
30.1951656	59.8480961	tower	node	"726688115"
30.19706	59.8522118	tower	node	"726688118"
30.1049857	59.8535399	tower	node	"726784109"
30.0883559	59.8476267	tower	node	"726784111"
30.0288111	59.8374632	tower	node	"726784114"
30.0570609	59.8399616	tower	node	"726784115"
30.1390574	59.8474683	tower	node	"726784119"
30.1338005	59.8475735	tower	node	"726784125"
30.0430062	59.8379702	tower	node	"726784127"
30.0917978	59.8489306	tower	node	"726784131"
30.14772	59.8473075	tower	node	"726784132"
30.0843859	59.8466466	tower	node	"726784138"
30.0644759	59.8417985	tower	node	"726784141"
30.1128016	59.8525438	tower	node	"726784142"
30.1088347	59.8530602	tower	node	"726784156"
30.1152099	59.8527492	tower	node	"726784159"
30.0799406	59.8455693	tower	node	"726784160"
30.0527079	59.8388644	tower	node	"726784163"
30.1229165	59.8497611	tower	node	"726784165"
30.12755	59.8484926	tower	node	"726784167"
30.0756956	59.8445022	tower	node	"726784169"
30.1618017	59.8470102	tower	node	"726784174"
30.1529026	59.847197	tower	node	"726784176"
30.0720678	59.8436648	tower	node	"726784178"
30.1176565	59.8512144	tower	node	"726784192"
30.0603524	59.8408011	tower	node	"726784202"
30.1018789	59.8523504	tower	node	"726784206"
30.0952695	59.8502626	tower	node	"726784207"
30.1437699	59.8473872	tower	node	"726784208"
30.0481816	59.837763	tower	node	"726784210"
30.4629683	59.8845343	tower	node	"727663910"
30.4661291	59.884627	tower	node	"727664102"
30.482431	59.8875595	tower	node	"727664155"
30.476585	59.886658	tower	node	"727664240"
30.4726101	59.8859318	tower	node	"727664244"
30.4883367	59.8885118	tower	node	"727664280"
30.4685862	59.8851394	tower	node	"727664323"
30.4614352	59.8863936	tower	node	"727664360"
30.1489363	59.7906042	tower	node	"727830679"
30.1172069	59.7985435	tower	node	"727830690"
30.1475822	59.7910523	tower	node	"727830719"
30.1266087	59.8103039	tower	node	"727830723"
30.1389515	59.7927929	tower	node	"727830742"
30.147524	59.790899	tower	node	"727830788"
30.1387405	59.7925987	tower	node	"727830801"
30.1271482	59.8100991	tower	node	"727830825"
30.1492392	59.7907423	tower	node	"727830894"
30.1268838	59.8102055	tower	node	"727830920"
30.1177982	59.7986353	tower	node	"727830944"
30.1287998	59.8116235	tower	node	"727841341"
30.1327642	59.8141545	tower	node	"727841370"
30.1290977	59.8115187	tower	node	"727841383"
30.1325537	59.8142572	tower	node	"727841416"
30.1309747	59.812843	tower	node	"727841422"
30.1322822	59.8143416	tower	node	"727841458"
30.1307185	59.8129299	tower	node	"727841462"
30.492897	59.8883711	tower	node	"728922192"
30.4964516	59.8890546	tower	node	"728922228"
30.0655383	59.72142	tower	node	"731265876"
30.0640512	59.7231017	tower	node	"731265925"
30.0630606	59.7242291	tower	node	"731265967"
30.0673115	59.7193791	tower	node	"731266114"
30.0686837	59.7178196	tower	node	"731266146"
30.0661485	59.7207096	tower	node	"731266165"
29.9097811	59.8582248	tower	node	"738070719"
30.3932019	59.7518858	tower	node	"749530481"
30.3926897	59.752207	tower	node	"749530531"
30.4558284	59.7850027	tower	node	"749679717"
30.4607397	59.8034988	tower	node	"749679737"
30.4658097	59.813863	tower	node	"749679747"
30.468241	59.8162599	tower	node	"749679764"
30.4721431	59.8090724	tower	node	"749679768"
30.4414929	59.7810347	tower	node	"749679772"
30.4513306	59.783504	tower	node	"749679781"
30.4256396	59.7762282	tower	node	"749679784"
30.4604834	59.8074934	tower	node	"749679790"
30.408324	59.7587609	tower	node	"749679792"
30.4192208	59.7668637	tower	node	"749679818"
