X	Y	NAME	NAME_EN	NAME_RU	RAILWAY	HIGHWAY	REF	NETWORK	PUBLIC_TRA	OSM_TYPE	OSM_ID
30.3477245	60.0108227	проспект Тореза				bus_stop			platform	node	"585957413"
30.5623516	59.749543	"проспект Ленина, угол улицы Танкистов"				bus_stop			platform	node	"586554225"
30.5991211	59.747388	бульвар Свободы				bus_stop			platform	node	"586554253"
30.6008073	59.7474232	бульвар Свободы				bus_stop			platform	node	"586554267"
30.5964922	59.7491828	Городской сад				bus_stop			platform	node	"586554276"
30.5970008	59.7485413	Городской сад				bus_stop			platform	node	"586554282"
30.5510807	59.7539639	Домостроительный комбинат № 5				bus_stop			platform	node	"586554304"
30.5522087	59.7533303	Домостроительный комбинат № 5				bus_stop			platform	node	"586554329"
30.5617596	59.7500052	улица Танкистов				bus_stop			platform	node	"586554337"
30.5635662	59.7498505	улица Танкистов				bus_stop			platform	node	"586554350"
30.5493772	59.7582515	Комбинат строительных материалов				bus_stop			platform	node	"586554369"
30.5932733	59.7460427	площадь Коммуны				bus_stop			platform	node	"599107653"
30.606683	59.7490476	улица Культуры				bus_stop			platform	node	"599107654"
30.6053003	59.7493814	улица Культуры				bus_stop			platform	node	"599107655"
30.567174	59.7485949	"Павловская улица, 82"				bus_stop			platform	node	"599107656"
30.5801038	59.7480499	улица Братьев Радченко				bus_stop			platform	node	"599107657"
30.579256	59.7482058	улица Братьев Радченко				bus_stop			platform	node	"599107658"
30.5883777	59.747243	улица Коммуны				bus_stop			platform	node	"599107659"
30.5676217	59.7484518	"Павловская улица, 82"				bus_stop			platform	node	"599107660"
30.5020212	59.8320371	станция метро «Рыбацкое»				bus_stop			platform	node	"600296020"
30.5023149	59.8316609	станция метро «Рыбацкое»				bus_stop			platform	node	"600296021"
30.4761583	59.9478051	Индустриальный проспект				bus_stop			platform	node	"610298725"
30.4743343	59.9475177	Индустриальный проспект				bus_stop			platform	node	"610298726"
30.4752678	59.9481302	"Индустриальный проспект, угол проспекта Энтузиастов"				bus_stop			platform	node	"610298730"
30.3922483	60.0221569	"улица Вавиловых, 11"				bus_stop			platform	node	"617223308"
30.3923814	60.0305199	Светлановский проспект				bus_stop			platform	node	"619699694"
30.3851699	60.0320797	"проспект Луначарского, 86"				bus_stop			platform	node	"619699695"
30.3847728	60.0324931	"проспект Луначарского, 86"				bus_stop			platform	node	"619699696"
30.3788052	60.0337257	улица Демьяна Бедного				bus_stop			platform	node	"619699697"
30.3799309	60.0331563	"проспект Луначарского, угол улицы Демьяна Бедного"				bus_stop			platform	node	"619699698"
30.390849	60.0312848	Светлановский проспект		Светлановский проспект		bus_stop			platform	node	"619699699"
30.3087574	59.8097657	Улица Владимира Мацкевича				bus_stop			platform	node	"621455191"
30.3184135	59.8100127	Торговый комплекс «Лента»				bus_stop			platform	node	"621455194"
30.3183762	59.810193	Торговый комплекс «Лента»				bus_stop			platform	node	"621455195"
30.2936341	59.8135909	сквер Викентия Грязнова				bus_stop			platform	node	"621455196"
30.2939523	59.8138671	сквер Викентия Грязнова				bus_stop			platform	node	"621455197"
30.299931	59.8121305	"Улица Пилотов, 13"				bus_stop			platform	node	"621455198"
30.3021914	59.8113842	"Улица Пилотов, 13"				bus_stop			platform	node	"621455199"
30.3094179	59.8098073	Улица Владимира Мацкевича				bus_stop			platform	node	"621455200"
30.4776534	59.9527747	"проспект Ударников, 29"				bus_stop			platform	node	"634365176"
