X	Y	HIGHWAY	CROSSING	CROSSING_R	OSM_TYPE	OSM_ID
30.3374679	59.8494537	crossing	traffic_signals		node	"491428966"
30.3750001	59.8789338	crossing			node	"492257919"
30.3514855	59.8313156	crossing	traffic_signals		node	"492894109"
30.4943507	59.7892829	crossing			node	"495951397"
30.2333387	60.0133816	crossing	traffic_signals		node	"496962418"
30.2244355	60.020955	crossing	uncontrolled		node	"496962421"
30.2221941	60.0224024	crossing	traffic_signals		node	"496962424"
30.2344943	60.0123153	crossing	traffic_signals		node	"496962439"
30.2356254	60.0100985	crossing	traffic_signals		node	"496962446"
30.3513829	59.833814	crossing	traffic_signals		node	"497485593"
30.3562124	59.8429692	crossing	traffic_signals		node	"497488856"
30.4697605	59.9199534	crossing	traffic_signals		node	"504903396"
30.4706101	59.9201715	crossing	traffic_signals		node	"504903399"
30.3705125	59.9309131	crossing	uncontrolled		node	"510833886"
30.3689851	59.9296055	crossing	uncontrolled		node	"510833887"
30.4789675	59.9108601	crossing	traffic_signals		node	"512342511"
30.4625366	59.909818	crossing	traffic_signals		node	"513248426"
30.4645931	59.9075867	crossing	traffic_signals		node	"517517717"
30.478708	59.9107994	crossing	traffic_signals		node	"517517780"
30.4140751	59.8655454	crossing	traffic_signals		node	"522635673"
30.414256	59.8653982	crossing	traffic_signals		node	"522635686"
30.4144079	59.8663411	crossing	traffic_signals		node	"522635733"
30.4146396	59.8664245	crossing	traffic_signals		node	"522635737"
30.4158616	59.8651108	crossing	traffic_signals		node	"522635776"
30.416127	59.8651636	crossing	traffic_signals		node	"522635781"
30.4166307	59.8661869	crossing	traffic_signals		node	"522635928"
30.4164962	59.8662915	crossing	traffic_signals		node	"522635937"
30.4782547	59.9106933	crossing	uncontrolled		node	"523151163"
30.480252	59.8776964	crossing	traffic_signals		node	"526967730"
30.4799007	59.87778	crossing	traffic_signals		node	"526967732"
30.4799205	59.8772372	crossing	traffic_signals		node	"526967741"
30.5917052	59.746781	crossing	uncontrolled		node	"527353884"
30.2607534	59.8422383	crossing	uncontrolled		node	"539183059"
30.4099918	59.8423849	crossing	traffic_signals		node	"544483410"
30.4101432	59.8422353	crossing	traffic_signals		node	"544483490"
30.3822554	59.8280709	crossing	uncontrolled		node	"546691372"
30.2992816	59.9579135	crossing	traffic_signals		node	"559060401"
30.3009301	59.9571167	crossing	traffic_signals		node	"559060404"
30.4571328	59.9165083	crossing	traffic_signals		node	"561380050"
30.330272	59.8524746	crossing	traffic_signals		node	"561398391"
30.3072794	60.0015577	crossing	traffic_signals		node	"562802455"
30.3247014	59.8495368	crossing	uncontrolled		node	"564107832"
30.3299246	59.8442803	crossing	traffic_signals		node	"566455323"
30.3299093	59.8444183	crossing	traffic_signals		node	"566455324"
30.3306383	59.8444318	crossing	traffic_signals		node	"566455325"
30.3362287	59.8447622	crossing	uncontrolled		node	"566455328"
30.3387063	59.8445605	crossing	traffic_signals		node	"566455332"
30.3377419	59.8445434	crossing	traffic_signals		node	"566455333"
30.3482136	59.8427537	crossing	traffic_signals		node	"566455339"
30.3561621	59.8430951	crossing	traffic_signals		node	"566455350"
30.4261813	59.9886476	crossing	uncontrolled		node	"569090115"
30.3044436	59.8587741	crossing	unmarked		node	"570865423"
30.3191916	60.0297669	crossing	uncontrolled		node	"571788380"
30.5788812	59.8117493	crossing	uncontrolled		node	"573654092"
30.4653295	59.9077611	crossing	traffic_signals		node	"576272998"
30.4075932	59.9116151	crossing	traffic_signals		node	"577658578"
29.92223	59.8664399	crossing	uncontrolled		node	"578229366"
30.2450566	59.8676067	crossing	uncontrolled		node	"582998773"
30.2544945	59.8727385	crossing	traffic_signals		node	"582998779"
30.254465	59.8728363	crossing	traffic_signals		node	"582998780"
30.5718097	59.7338786	crossing	unmarked		node	"585244172"
30.4085331	60.0254921	crossing			node	"585326624"
30.4082834	60.0254001	crossing			node	"585326628"
30.2567911	59.8600479	crossing	uncontrolled		node	"585328480"
30.6105383	59.7379599	crossing	uncontrolled		node	"588080253"
30.4303255	59.6944833	crossing	uncontrolled		node	"599205237"
30.3696663	60.0380312	crossing	uncontrolled		node	"599912883"
30.5826691	59.7450288	crossing	uncontrolled		node	"600926790"
30.5793947	59.7454447	crossing	uncontrolled		node	"600926795"
30.3496038	59.8778924	crossing	traffic_signals		node	"602741726"
30.3453039	59.924951	crossing	traffic_signals		node	"605027410"
30.3424024	60.0448175	crossing	uncontrolled		node	"610458947"
29.8300409	59.8815257	crossing			node	"611475529"
30.3208356	60.0302584	crossing	traffic_signals		node	"624644669"
29.8801484	60.1702865	crossing	uncontrolled		node	"633501705"
30.282275	60.0793749	crossing	uncontrolled		node	"639109136"
30.3993528	59.8519527	crossing	traffic_signals		node	"639267332"
30.3997454	59.8520524	crossing	traffic_signals		node	"639267333"
30.4603807	59.8797423	crossing	uncontrolled		node	"649229688"
30.4600677	59.8797498	crossing	uncontrolled		node	"649229697"
30.4589405	59.8798392	crossing	uncontrolled		node	"649232296"
30.3244887	59.8418831	crossing	uncontrolled		node	"649602626"
30.3236754	59.8436206	crossing	uncontrolled		node	"649602653"
30.323117	59.8442933	crossing	uncontrolled		node	"649602664"
30.3434176	59.8314606	crossing	traffic_signals		node	"651742242"
30.3432146	59.8313638	crossing	traffic_signals		node	"651742244"
30.3478347	59.8288712	crossing	traffic_signals		node	"656639811"
30.3480381	59.8289673	crossing	traffic_signals		node	"656639813"
30.3474104	60.0506097	crossing	traffic_signals		node	"658478630"
30.3469518	60.0500451	crossing	traffic_signals		node	"658478663"
29.8852864	59.8846265	crossing	traffic_signals		node	"661078869"
29.9048988	59.8731995	crossing	uncontrolled		node	"661113351"
29.9572943	60.0929242	crossing	uncontrolled		node	"662423383"
29.8727389	59.8858747	crossing	uncontrolled		node	"663078798"
29.9028982	59.879764	crossing	uncontrolled		node	"663867906"
29.8874265	59.8760544	crossing	uncontrolled		node	"664625065"
29.8889089	59.8787609	crossing	uncontrolled		node	"664625075"
29.9246952	59.8631088	crossing	uncontrolled		node	"666360281"
30.0167058	59.8557672	crossing	unmarked		node	"667526431"
30.4342955	59.8424821	crossing	traffic_signals		node	"687782484"
29.7051155	60.1934321	crossing	uncontrolled		node	"687918623"
30.3292236	59.8551042	crossing	traffic_signals		node	"691312458"
29.7766425	59.9109096	crossing	unmarked		node	"697106627"
30.4784524	59.8539288	crossing	uncontrolled		node	"697390282"
30.1799382	59.8612176	crossing	traffic_signals		node	"698846372"
30.3418999	59.9229408	crossing	traffic_signals		node	"706487844"
30.3787355	59.9993202	crossing	traffic_signals		node	"731249177"
30.4836424	59.8990615	crossing	uncontrolled		node	"734641036"
29.8596722	59.8771742	crossing	uncontrolled		node	"737251711"
30.3032153	60.0285522	crossing	unmarked		node	"746548414"
29.9146207	59.8791119	crossing	traffic_signals		node	"754321607"
30.4056673	60.0202705	crossing	uncontrolled		node	"758796311"
30.2174262	59.950504	crossing	traffic_signals		node	"762498388"
30.3768857	59.9996344	crossing	uncontrolled		node	"762659695"
30.3801227	59.9961463	crossing	traffic_signals		node	"762669465"
30.3801881	59.996258	crossing	traffic_signals		node	"762669558"
30.3788909	59.9991711	crossing	traffic_signals		node	"762669562"
30.4771477	59.9312038	crossing	uncontrolled		node	"763377194"
30.3854665	59.8729845	crossing	uncontrolled		node	"767122558"
30.4765334	59.9053447	crossing	uncontrolled		node	"768033236"
30.4766819	59.9051834	crossing	uncontrolled		node	"768033242"
30.3477235	59.9288132	crossing	traffic_signals		node	"768851396"
