X	Y	BUILDING	ADDR_CITY	A_STRT	A_SBRB	A_HSNMBR	A_PLACE	A_PSTCD	B_LEVELS	NAME	NAME_EN	NAME_RU	OSM_TYPE	OSM_ID
30.3960746	60.0132166	kiosk							"1"	Baggins Coffee			node	"6710976871"
30.3358463	59.9469563	kiosk						"191028"	"1"	Летний дворец Петра I			node	"6935841421"
30.2413804	59.9383823	kiosk											node	"7030875544"
30.2401082	59.9247786	kiosk							"1"	Чешский трдельник			node	"7659398163"
29.9956745	60.1546341	yes				"165"							node	"7736679617"
29.9897253	60.1559315	yes				"130"							node	"7736679620"
29.990235	60.1562559	yes				"127"							node	"7736679621"
29.9908304	60.1573116	yes				"121"							node	"7736679622"
29.9927348	60.1594952	yes				"101"							node	"7736679627"
29.9937084	60.1607537	yes				"91"							node	"7736679628"
29.9936146	60.1609873	yes				"90"							node	"7736679629"
29.9959373	60.1572876	yes				"50"							node	"7736679631"
29.9957228	60.1570554	yes				"49"							node	"7736679632"
29.9941832	60.1558327	yes				"15"							node	"7736679638"
30.3908839	59.6922896	garages											node	"7739923200"
30.2879936	60.0291141	house	Санкт-Петербург	Эстонская улица		15 к2		"197375"	"2"				node	"7941560285"
30.2187163	60.0044736	kiosk								Ключ здоровья			node	"8348648797"
30.3736769	59.9313589	service		3-я Советская улица		44-46 литБ			"1"				node	"8555173399"
30.4318088	59.9601633	yes							"1"				node	"8792709874"
29.931744	60.143479	kiosk											node	"8914782622"
29.9408045	60.1297087	yes											node	"8914782773"
29.9412498	60.1295551	yes											node	"8914782774"
29.9230832	60.1503276	kiosk											node	"8958314287"
29.6418214	60.0320463	bunker											node	"9047886724"
29.6408075	60.0321427	bunker											node	"9047886725"
29.6879366	60.020802	bunker											node	"9049946638"
29.6882826	60.0214065	bunker											node	"9049946645"
30.2998021	59.9783401	service		набережная реки Малой Невки		7 литТ			"1"				node	"9156204087"
30.2964279	59.9808931	garage											node	"9156204088"
30.2054881	59.8597188	shelter											node	"9205011984"
30.186342	59.8421446	bunker								ДОТ		ЖБОТ	node	"9219135345"
30.2158419	59.8532884	shelter											node	"9222066152"
30.2151875	59.8534409	shelter											node	"9222066153"
30.3618083	59.9284415	kiosk								FIXCOFF			node	"9232329565"
30.3700742	60.0083544	kiosk								Теремок	Teremok	Теремок	node	"9288154212"
30.4583928	59.814041	yes								ЭКО-ВторСнаб			node	"9293132014"
30.0567416	59.7308951	yes								ЭКО-ВторСнаб			node	"9295678136"
30.3544384	60.0067981	shelter											node	"9309204573"
30.3545709	60.0067511	shelter											node	"9309204575"
30.4108234	59.9406037	retail							"1"	Baggins Coffee			node	"9504157633"
30.430191	59.9592643	service											node	"9661155786"
30.2777676	59.6839417	bunker								ЖБОТ Га-5 КрУР			node	"9741778317"
30.4038788	60.0049807	apartments		улица Верности		"17"			"22"				node	"9754040186"
30.1537607	59.8597164	yes							"1"				node	"9856558390"
30.1630399	59.8284304	bunker								Немецкий тобрук (рингштанд) DL-2			node	"9890701397"
30.1633837	59.8315684	bunker								Немецкий тобрук (рингштанд) DL-1			node	"9890701398"
30.2762984	59.9698665	yes											node	"10011300101"
30.4784717	59.9446577	kiosk								Вкусная выпечка			node	"10013557165"
30.4827075	59.9426464	garage											node	"10013646451"
29.8973195	59.8871099	service											node	"10015997292"
30.329887	59.9218039	service											node	"10029388279"
30.4772581	59.9378992	retail											node	"10031313138"
30.3084938	59.9575442	kiosk											node	"10036222058"
30.4760875	59.9474341	bunker											node	"10069043788"
30.2735338	59.9720946	yes								Крестовоздвиженский храм			node	"10100871581"
30.3098769	59.9576934	retail											node	"10108909276"
30.3755087	59.9014309	retail	Санкт-Петербург	Самойловой		"5"		"192102"		Гудвин			node	"10142377504"
30.3550727	59.7241791	bunker								Испанский рингштанд (тобрук) DP-6			node	"10178343717"
30.2854879	59.7224193	bunker								Немецкий НП с убежищем DF-21			node	"10203591617"
30.2802856	59.7385055	bunker								Немецкий рингштанд (тобрук) DF-13			node	"10203594117"
30.3460474	59.9837205	kiosk											node	"10264890272"
30.2713143	59.9408056	kiosk								SmartBox			node	"10554853236"
30.2573884	59.931517	kiosk								Relax Табако			node	"10563102459"
30.4229033	59.9236557	garages							"1"				node	"10595738876"
30.3461196	60.0467528	retail							"1"				node	"10686979924"
30.348836	59.7373513	bunker								Немецкий ДОТ DP-2			node	"10716372606"
30.2866039	59.7257703	bunker								Немецкий рингштанд (тобрук) DF-14			node	"10716378706"
30.3520082	59.7395834	bunker								Немецкий ДОТ DP-3			node	"10716418805"
30.090268	59.7573177	bunker								Пункт АИР «Белый»		Немецкий пункт АИР «Белый»	node	"10727667514"
30.2468253	59.8447195	yes							"1"				node	"10777687094"
30.2863018	59.9416754	cabin							"1"				node	"10797303166"
30.1909211	60.0397574	house				"4"				"4"			node	"10800484980"
30.1916475	60.039389	house				"4"				"2"			node	"10800484994"
30.1926056	60.0395693	house				"4"				"7"			node	"10800484995"
30.2827245	59.9046041	warehouse								МиниСклад			node	"10844030674"
30.3667635	59.9853304	warehouse								Хранилкин.рф			node	"10844030701"
30.3977269	59.8031005	warehouse								Хранилкин.рф			node	"10844030702"
30.3433907	60.0615289	warehouse								Хранилкин.рф			node	"10844030703"
30.3100401	59.8951611	warehouse								Хранилкин.рф			node	"10844030704"
30.381169	59.972433	warehouse								МиниСклад			node	"10844067706"
30.338155	59.8216883	warehouse								МиниСклад			node	"10844067707"
30.3930271	59.9455282	service											node	"10878354468"
30.219167	60.0364461	service											node	"10884579476"
30.1460177	59.7977079	bunker											node	"10884959753"
30.1379248	59.7843589	container								Бамперок			node	"10922255473"
30.1380448	59.7844601	kiosk								Лаваш & Хачапури			node	"10922255474"
30.1379469	59.7843767	container								О! Раки			node	"10922255475"
30.4731723	59.9019022	service		Искровский проспект		28 литО			"1"				node	"10928014125"
30.2824403	59.904397	warehouse								МиниСклад			node	"10928132466"
30.3667528	59.9853224	warehouse								Хранилкин.рф			node	"10928132486"
30.3443938	59.8184063	warehouse								Хранилкин.рф			node	"10928132487"
30.3433478	60.0615316	warehouse								Хранилкин.рф			node	"10928132488"
30.3100294	59.8951449	warehouse								Хранилкин.рф			node	"10928132489"
30.3100013	59.9652215	garages							"1"				node	"10977225340"
30.5062536	59.8385115	service							"1"				node	"10977615498"
30.3153001	59.859623	garage							"1"				node	"11035177592"
